"","zip","population","floodclaims","floodclaims_per_person"
"1","920xx",1253142,225,0.00017954868642181
"2","701xx",576467,3085,0.00535156392299993
"3","325xx",662041,3061,0.00462358071478957
"4","299xx",210720,3515,0.0166809035687168
"5","329xx",620835,1436,0.00231301392479483
"6","234xx",622994,2526,0.0040546136880933
"7","770xx",2941145,46339,0.0157554285830858
"8","967xx",952871,701,0.000735671460250128
"9","330xx",1672562,10016,0.00598841776866867
"10","939xx",385086,56,0.000145422061565468
"11","349xx",441300,636,0.0014411964649898
"12","314xx",236823,1203,0.00507974309927667
"13","395xx",383267,3033,0.0079135433001015
"14","334xx",1427494,1755,0.0012294272340199
"15","336xx",717255,1137,0.00158521028086245
"16","214xx",299661,66,0.000220248881235796
"17","361xx",214703,67,0.000312058983805536
"18","295xx",635161,4841,0.00762168961885254
"19","760xx",1232029,646,0.00052433830697167
"20","285xx",534985,11148,0.0208379674196473
"21","954xx",507823,893,0.0017584867168285
"22","597xx",160773,35,0.000217698245352142
"23","286xx",773598,232,0.000299897362712934
"24","324xx",381582,3859,0.0101131604740266
"25","902xx",1240199,204,0.000164489731083479
"26","235xx",290584,1494,0.00514137048151309
"27","711xx",424160,502,0.00118351565447001
"28","229xx",251990,65,0.000257946743918409
"29","026xx",39999,375,0.00937523438085952
"30","365xx",359724,1546,0.00429773937796755
"31","834xx",219109,23,0.000104970585416391
"32","706xx",410038,1326,0.00323384661909384
"33","943xx",106420,17,0.000159744408945687
"34","781xx",382990,688,0.00179639155069323
"35","020xx",39999,1813,0.0453261331533288
"36","063xx",39999,1034,0.0258506462661567
"37","784xx",364492,1162,0.00318799863920196
"38","949xx",379560,199,0.000524291284645379
"39","216xx",227585,253,0.00111167256189995
"40","082xx",39999,14484,0.362109052726318
"41","320xx",598296,6604,0.0110380146282108
"42","321xx",570368,3057,0.00535969759874327
"43","323xx",444226,1392,0.00313354013497634
"44","170xx",683318,1715,0.00250981241530298
"45","926xx",1275973,240,0.000188091754292606
"46","225xx",187911,130,0.000691816870752644
"47","223xx",321490,299,0.000930044480388192
"48","279xx",214512,8061,0.0375783172969344
"49","284xx",510592,6546,0.0128204123840562
"50","208xx",692451,169,0.000244060590568863
"51","782xx",1647616,447,0.000271301079863269
"52","783xx",276365,6039,0.0218515369167586
"53","700xx",776433,8459,0.0108946940689023
"54","087xx",39999,23614,0.590364759118978
"55","916xx",212915,11,5.16638095014442e-05
"56","220xx",478575,264,0.000551637674345714
"57","278xx",600854,4023,0.00669547011420412
"58","257xx",91935,70,0.00076140751617991
"59","974xx",555743,156,0.000280705290035142
"60","427xx",197543,68,0.00034422885143994
"61","224xx",212145,86,0.00040538311060831
"62","346xx",665904,2461,0.00369572791273217
"63","605xx",1098555,690,0.000628097819408223
"64","703xx",483470,1184,0.00244896270709661
"65","077xx",39999,10425,0.260631515787895
"66","339xx",733439,2504,0.00341405352047
"67","775xx",1218858,21360,0.0175246008969051
"68","777xx",142692,2117,0.0148361505900821
