"LOAN_ID","MEMBER_ID","LOAN_AMOUNT","FUNDED_AMOUNT","TERM","INTEREST_RATE","EXPECTED_DEFAULT_RATE","SERVICE_FEE_RATE","INSTALLMENT","GRADE","SUBGRADE","EMPLOYMENT_LENGTH","HOME_OWNERSHIP","ANNUAL_INCOME","ANNUAL_INCOME_VERIFIED","ACCEPTED_DATE","EXPIRATION_DATE","LISTING_DATE","CREDIT_PULL_DATE","REVIEW_STATUS_DATE","REVIEW_STATUS","DESCRIPTION","PURPOSE","ADDRESS_ZIP","ADDRESS_STATE","INVESTOR_COUNT","INITIAL_LIST_STATUS","EMP_TITLE","INITIAL_LIST_STATUS_EXPIRE_DATE","ACCOUNTS_NOW_DELINQUENT","ACCOUNTS_OPEN_IN_PAST_24_MTHS","BANK_CARDS_AMOUNT_OPEN_TO_BUY","BANK_CARDS_UTILIZATION_RATIO","DEBT_TO_INCOME_RATIO","DELINQUENCIES_IN_LAST_2_YEARS","DELINQUENT_AMOUNT","EARLIEST_CREDIT_LINE_DATE","FICO_RANGE_LOW","FICO_RANGE_HIGH","INQUIRIES_IN_LAST_6_MONTHS","MONTHS_SINCE_LAST_DELINQUENCY","MONTHS_SINCE_LAST_RECORD","MONTHS_SINCE_LAST_INQUIRY","MONTHS_SINCE_RECENT_REVOLVING_DELINQUENCY","MONTHS_SINCE_RECENT_BANK_CARD","MORTGAGE_ACCOUNTS","OPEN_ACCOUNTS","PUBLIC_RECORDS","TOTAL_BALANCE_EXCLUDING_MORTGAGE","REVOLVING_BALANCE","REVOLVING_UTILIZATION","TOTAL_BANK_CARD_LIMIT","TOTAL_ACCOUNTS","TOTAL_IL_HIGH_CREDIT_LIMIT","NUM_REV_ACCTS","MTHS_SINCE_RECENT_BC_DLQ","PUB_REC_BANKRUPTCIES","NUM_ACCTS_EVER_120_PPD","CHARGEOFF_WITHIN_12_MTHS","COLLECTIONS_12_MTHS_EXMED","TAX_LIENS","MTHS_SINCE_LAST_MAJOR_DEROG","NUM_STATS","NUM_TL_OP_PAST_12_M","MO_SIN_RCNT_TL","TO_HI_CRED_LIM","TO_CUR_BAL","AVG_CUR_BAL","NUM_BC_TL","NUM_ACTV_BC_TL","NUM_BC_STATS","PCT_TL_NVR_DLQ","NUM_TL_90_G_DPD_24_M","NUM_TL_30_DPD","NUM_TL_120_DPD_2_M","NUM_IL_TL","MO_SIN_OLD_IL_ACCT","NUM_ACTV_REV_TL","MO_SIN_OLD_REV_TL_OP","MO_SIN_RCNT_REV_TL_OP","TOTAL_REV_HI_LIM","NUM_REV_TL_BAL_GT0","NUM_OP_REV_TL","TOT_COLL_AMT","PERCENT_OF_BANK_CARDS_OVER_75_PERCENT_UTIL","APPLICATION_TYPE","ANNUAL_INCOME_JOINT","DTI_JOINT","ANNUAL_INCOME_JOINT_VERIFIED","OPEN_ACC_6M","OPEN_ACT_IL","OPEN_IL_12M","OPEN_IL_24M","MTHS_SINCE_RCNT_IL","TOTAL_BAL_IL","IL_UTIL","OPEN_RV_12M","OPEN_RV_24M","MAX_BAL_BC","ALL_UTIL","INQ_FI","TOTAL_CU_TL","INQ_LAST_12M","MTG_PAYMENT","HOUSING_PAYMENT","REVOL_BAL_JOINT","SEC_APP_FICO_RANGE_LOW","SEC_APP_FICO_RANGE_HIGH","SEC_APP_EARLIEST_CR_LINE","SEC_APP_INQ_LAST_6MTHS","SEC_APP_MORT_ACC","SEC_APP_OPEN_ACC","SEC_APP_REVOL_UTIL","SEC_APP_OPEN_ACT_IL","SEC_APP_NUM_REV_ACCTS","SEC_APP_CHARGEOFF_WITHIN_12_MTHS","SEC_APP_COLLECTIONS_12_MTHS_EX_MED","SEC_APP_MTHS_SINCE_LAST_MAJOR_DEROG","DISBURSEMENT_METHOD"
"149104905","179910566","4000.0","0.0","36","8.81","2.02","0.84","126.85","A","A5","0","RENT","75000.0","SOURCE_VERIFIED","2019-03-20T09:46:18.000-07:00","2019-04-19T14:00:00.000-07:00","2019-03-20T14:00:00.000-07:00","2019-03-20T09:34:49.000-07:00","2019-03-20T09:52:29.000-07:00","APPROVED","","debt_consolidation","740xx","OK","0","F","Controller ","2019-03-20T14:00:00.000-07:00","0","4","18309","5.1","9.54","1","0.0","2007-09-19T17:00:00.000-07:00","725","729","0","18","","6","18","13","0","23","0","115208","1993.0","5.1","19300","42","111167","16","18","0","0","0","0","0","","23","2","1","150367","115208","6400","10","4","10","97","0","0","0","26","138","5","64","1","39200","5","15","0","0.0","INDIVIDUAL","","","","1","6","1","2","10","113215.0","86.1","1","2","502.0","53.8","0","0","2","0.0",,"","","","","","","","","","","","","","CASH"
"147876223","176530913","6600.0","0.0","36","17.19","7.19","1.15","235.94","C","C5","36","RENT","65000.0","NOT_VERIFIED","2019-03-20T09:27:53.000-07:00","2019-04-19T14:00:00.000-07:00","2019-03-20T14:00:00.000-07:00","2019-02-19T05:43:59.000-08:00","2019-03-20T09:52:28.000-07:00","APPROVED","","major_purchase","605xx","IL","0","F","Assistant to Managing Partner","2019-03-20T14:00:00.000-07:00","0","3","26609","12.2","23.84","1","0.0","2000-09-18T17:00:00.000-07:00","670","674","3","19","59","1","","41","3","14","1","23643","6104.0","15.7","30300","41","33483","33","","1","1","0","0","0","19","12","1","4","72483","23643","1970","14","4","5","97","1","0","0","3","37","7","218","4","39000","7","11","0","20.0","INDIVIDUAL","","","","0","3","0","2","13","17539.0","52.4","1","1","1367.0","32.6","3","0","4","0.0",,"","","","","","","","","","","","","","CASH"
"149065579","179851291","10000.0","0.0","36","15.57","7.19","1.15","349.46","C","C3","120","RENT","31000.0","SOURCE_VERIFIED","2019-03-20T09:46:12.000-07:00","2019-04-19T14:00:00.000-07:00","2019-03-20T14:00:00.000-07:00","2019-03-20T09:36:33.000-07:00","2019-03-20T09:52:13.000-07:00","APPROVED","","debt_consolidation","760xx","TX","0","F","Sales Associate","2019-03-20T14:00:00.000-07:00","0","5","7534","38.7","27.1","0","0.0","2005-11-19T16:00:00.000-08:00","700","704","1","","","2","","2","0","13","0","15340","11082.0","34.5","12300","21","6090","19","","0","0","0","0","0","","13","2","2","38190","15340","1180","6","4","5","100","0","0","0","2","121","10","160","2","32100","10","12","0","40.0","INDIVIDUAL","","","","1","1","0","1","14","4258.0","69.9","2","4","2834.0","40.2","0","0","1","0.0","0.0","","","","","","","","","","","","","","CASH"
"149104683","179910332","10000.0","0.0","36","15.57","7.19","1.15","349.46","C","C3","","MORTGAGE","125000.0","NOT_VERIFIED","2019-03-20T08:58:18.000-07:00","2019-04-19T14:00:00.000-07:00","2019-03-20T14:00:00.000-07:00","2019-03-20T08:48:29.000-07:00","2019-03-20T09:56:17.000-07:00","APPROVED","","credit_card","153xx","PA","0","F","","2019-03-20T14:00:00.000-07:00","0","6","18024","32.2","12.96","0","0.0","2000-09-19T17:00:00.000-07:00","715","719","0","","","9","","13","2","17","0","31827","22762.0","47.9","26600","45","28283","27","","0","0","0","0","0","","17","3","8","320763","274419","16142","17","7","10","100","0","0","0","16","117","11","180","8","47500","11","15","0","20.0","INDIVIDUAL","","","","0","1","0","1","21","9065.0","32.1","2","4","1889.0","42.0","0","0","2","1672.92",,"","","","","","","","","","","","","","CASH"
"149104656","179910302","14000.0","0.0","36","8.81","2.02","0.84","443.96","A","A5","12","MORTGAGE","155000.0","SOURCE_VERIFIED","2019-03-20T08:45:34.000-07:00","2019-04-19T14:00:00.000-07:00","2019-03-20T14:00:00.000-07:00","2019-03-20T08:43:10.000-07:00","2019-03-20T09:57:07.000-07:00","APPROVED","","credit_card","940xx","CA","0","F","Registered Nurse","2019-03-20T14:00:00.000-07:00","0","27","90083","3.1","16.5","0","0.0","2007-06-19T17:00:00.000-07:00","685","689","3","","113","1","","2","0","38","1","113116","3779.0","2.0","92800","80","125346","51","","1","0","0","0","0","","38","14","1","316746","113116","2977","25","5","17","100","0","0","0","29","130","7","141","2","191400","7","34","0","0.0","INDIVIDUAL","","","","8","4","4","6","1","109337.0","91.6","10","21","1675.0","9.6","3","4","15","0.0",,"","","","","","","","","","","","","","CASH"
"148941896","179722659","15000.0","0.0","36","20.0","12.86","1.42","557.46","D","D2","24","RENT","100000.0","SOURCE_VERIFIED","2019-03-19T11:44:45.000-07:00","2019-04-19T14:00:00.000-07:00","2019-03-20T14:00:00.000-07:00","2019-03-16T07:58:01.000-07:00","2019-03-20T09:53:02.000-07:00","APPROVED","","credit_card","910xx","CA","0","F","registered nurse ","2019-03-20T14:00:00.000-07:00","0","3","641","92.9","11.63","0","0.0","2003-01-15T16:00:00.000-08:00","685","689","0","","","7","","7","0","17","0","70843","8918.0","89.2","9000","19","98555","3","","0","0","0","0","0","","17","1","7","108555","70843","4167","2","2","2","100","0","0","0","16","194","3","23","7","10000","3","3","451","100.0","INDIVIDUAL","","","","0","14","0","0","34","61925.0","62.8","1","3","5416.0","65.3","0","0","2","0.0",,"","","","","","","","","","","","","","CASH"
"148421859","177996259","15000.0","0.0","36","14.74","7.19","1.15","518.08","C","C2","12","RENT","122000.0","NOT_VERIFIED","2019-03-19T16:30:18.000-07:00","2019-04-19T14:00:00.000-07:00","2019-03-20T14:00:00.000-07:00","2019-03-04T15:27:31.000-08:00","2019-03-20T09:58:30.000-07:00","APPROVED","","debt_consolidation","920xx","CA","0","F","Senior Pastor","2019-03-20T14:00:00.000-07:00","0","9","13956","27.3","15.38","0","0.0","1994-08-03T17:00:00.000-07:00","680","684","0","80","63","1","","7","3","12","1","87011","5244.0","26.0","19200","37","110206","10","","1","0","0","0","0","","12","6","7","130406","87011","7251","9","3","5","97","0","0","0","24","183","3","295","7","20200","3","6","5314","20.0","JOINT","132000.0","14.22","NOT_VERIFIED","0","6","4","6","7","81767.0","83.9","2","3","2423.0","71.6","5","10","8","0.0",,"","","","","","","","","","","","","","DIRECT_PAY"
"149081240","179867692","40000.0","0.0","36","7.56","2.02","0.84","1245.36","A","A3","48","MORTGAGE","110000.0","SOURCE_VERIFIED","2019-03-19T15:19:51.000-07:00","2019-04-19T14:00:00.000-07:00","2019-03-20T14:00:00.000-07:00","2019-03-19T15:13:39.000-07:00","2019-03-20T09:57:24.000-07:00","APPROVED","","debt_consolidation","121xx","NY","0","F","Genius","2019-03-20T14:00:00.000-07:00","0","4","13376","55.9","10.36","0","0.0","2006-10-18T17:00:00.000-07:00","705","709","0","","","16","","10","1","18","0","79312","19316.0","44.6","30300","44","56990","12","","0","0","0","0","0","","18","1","10","256972","232219","12901","7","3","5","100","0","0","0","31","149","5","144","10","43300","5","8","0","20.0","INDIVIDUAL","","","","0","9","0","1","13","59996.0","105.3","1","2","6444.0","79.1","0","5","0","1320.92",,"","","","","","","","","","","","","","CASH"
"137676943","157156395","10000.0","9100.0","36","2.02","6.16","0.79","238.01","C","C3","48","RENT","32000.0","SOURCE_VERIFIED","2018-07-28T16:55:35.000-07:00","2018-08-27T18:00:00.000-07:00","2018-07-28T18:00:00.000-07:00","2018-07-28T16:03:16.000-07:00","2018-07-28T17:16:02.000-07:00","APPROVED","","debt_consolidation","232xx","VA","0","F","Executive Director","2018-07-28T18:00:00.000-07:00","0","4","3637","27.3","27.34","0","0.0","2000-05-27T17:00:00.000-07:00","730","734","1","","","1","","26","0","8","0","19255","9955.0","38.4","5000","18","15279","16","","0","0","0","0","0","","8","2","1","41179","19255","2407","2","1","1","100","0","0","0","2","74","5","218","1","25900","5","7","0","0.0","INDIVIDUAL","","","","1","1","0","0","29","9300.0","60.9","2","4","1363.0","46.8","0","3","1","0.0","400.0","","","","","","","","","","","","","","CASH"
"137676943","157156395","10000.0","9100.0","36","2.02","6.16","0.79","238.01","C","C3","48","RENT","32000.0","SOURCE_VERIFIED","2018-07-28T16:55:35.000-07:00","2018-08-27T18:00:00.000-07:00","2018-07-28T18:00:00.000-07:00","2018-07-28T16:03:16.000-07:00","2018-07-28T17:16:02.000-07:00","APPROVED","","debt_consolidation","232xx","VA","0","F","ExecuFEWFWEFWEtive LOgrtgergL Director","2018-07-28T18:00:00.000-07:00","0","4","3637","27.3","27.34","0","0.0","2000-05-27T17:00:00.000-07:00","730","734","1","","","1","","26","0","8","0","19255","9955.0","38.4","5000","18","15279","16","","0","0","0","0","0","","8","2","1","41179","19255","2407","2","1","1","100","0","0","0","2","74","5","218","1","25900","5","7","0","0.0","INDIVIDUAL","","","","1","1","0","0","29","9300.0","60.9","2","4","1363.0","46.8","0","3","1","0.0","400.0","","","","","","","","","","","","","","CASH"
