"","ROI95lo","ROIavg","fractaken","numtaken","badProb","interest","intceil"
"1112","0.0653","0.0666","0.1020","66789","0.1025","0.090","0.190"
"1113","0.0659","0.0672","0.0954","62287","0.1000","0.090","0.190"
"1114","0.0662","0.0676","0.0921","60103","0.1075","0.100","0.190"
"2880","0.0667","0.0682","0.08270","53991","0.1050","0.100","0.175"
"2859","0.0669","0.0683","0.08040","52482","0.1000","0.095","0.175"
"3606","0.0669","0.0683","0.08490","55403","0.1050","0.100","0.185"
"3927","0.0669","0.0683","0.08220","53659","0.0950","0.090","0.190"
"3243","0.0669","0.0684","0.08430","55073","0.1050","0.100","0.180"
"3969","0.0670","0.0685","0.08590","56074","0.1050","0.100","0.190"
"3222","0.0671","0.0686","0.08180","53388","0.1000","0.095","0.180"
"3585","0.0671","0.0686","0.08220","53664","0.1000","0.095","0.185"
"3948","0.0673","0.0687","0.08310","54245","0.1000","0.095","0.190"
"2506","0.0675","0.0690","0.07660","50039","0.1025","0.100","0.170"
"2848","0.0675","0.0690","0.07470","48771","0.0975","0.095","0.175"
"2869","0.0675","0.0691","0.07710","50323","0.1025","0.100","0.175"
"3190","0.0678","0.0692","0.07490","48911","0.0925","0.090","0.180"
"3211","0.0678","0.0692","0.07600","49595","0.0975","0.095","0.180"
"3553","0.0678","0.0692","0.07520","49120","0.0925","0.090","0.185"
"3574","0.0677","0.0692","0.07630","49850","0.0975","0.095","0.185"
"3232","0.0678","0.0693","0.07860","51307","0.1025","0.100","0.180"
"3595","0.0678","0.0693","0.07900","51602","0.1025","0.100","0.185"
"3916","0.0679","0.0694","0.07590","49557","0.0925","0.090","0.190"
"3937","0.0679","0.0694","0.07720","50388","0.0975","0.095","0.190"
"3958","0.0679","0.0694","0.08000","52234","0.1025","0.100","0.190"
"2858","0.0683","0.0698","0.07180","46864","0.1000","0.100","0.175"
"3179","0.0683","0.0698","0.06900","45051","0.0900","0.090","0.180"
"3542","0.0683","0.0698","0.06930","45239","0.0900","0.090","0.185"
"3926","0.0683","0.0699","0.07140","46594","0.0950","0.095","0.190"
"3905","0.0685","0.0700","0.06990","45640","0.0900","0.090","0.190"
"3221","0.0685","0.0701","0.07320","47770","0.1000","0.100","0.180"
"3584","0.0685","0.0701","0.07360","48046","0.1000","0.100","0.185"
"3947","0.0687","0.0702","0.07450","48627","0.1000","0.100","0.190"
"2847","0.0690","0.0706","0.06670","43520","0.0975","0.100","0.175"
"3189","0.0692","0.0708","0.06480","42315","0.0925","0.095","0.180"
"3210","0.0692","0.0708","0.06790","44344","0.0975","0.100","0.180"
"3552","0.0692","0.0708","0.06510","42524","0.0925","0.095","0.185"
"3573","0.0692","0.0708","0.06830","44599","0.0975","0.100","0.185"
"3915","0.0694","0.0710","0.06580","42961","0.0925","0.095","0.190"
"3936","0.0694","0.0710","0.06910","45137","0.0975","0.100","0.190"
"3935","0.0694","0.0711","0.06320","41263","0.0975","0.105","0.190"
"3199","0.0696","0.0713","0.06280","41025","0.0950","0.100","0.180"
"3520","0.0696","0.0713","0.05850","38171","0.0850","0.090","0.185"
"3562","0.0696","0.0713","0.06320","41244","0.0950","0.100","0.185"
"3883","0.0698","0.0714","0.05900","38504","0.0850","0.090","0.190"
"3925","0.0698","0.0714","0.06390","41729","0.0950","0.100","0.190"
"3178","0.0698","0.0715","0.05960","38941","0.0900","0.095","0.180"
"3541","0.0699","0.0715","0.05990","39129","0.0900","0.095","0.185"
"3904","0.0700","0.0717","0.06050","39530","0.0900","0.095","0.190"
"3188","0.0708","0.0725","0.05790","37806","0.0925","0.100","0.180"
"3551","0.0707","0.0725","0.05820","38015","0.0925","0.100","0.185"
"3914","0.0709","0.0726","0.05890","38452","0.0925","0.100","0.190"
"3882","0.0713","0.0731","0.05090","33241","0.0850","0.095","0.190"
"3177","0.0714","0.0732","0.05320","34750","0.0900","0.100","0.180"
"3540","0.0715","0.0733","0.05350","34938","0.0900","0.100","0.185"
"3903","0.0716","0.0734","0.05410","35339","0.0900","0.100","0.190"
"3176","0.0716","0.0735","0.04840","31613","0.0900","0.105","0.180"
"3539","0.0716","0.0736","0.04870","31801","0.0900","0.105","0.185"
"3166","0.0718","0.0737","0.04890","31944","0.0875","0.100","0.180"
"3529","0.0719","0.0737","0.04920","32107","0.0875","0.100","0.185"
"3549","0.0717","0.0737","0.04560","29795","0.0925","0.110","0.185"
"3902","0.0718","0.0737","0.04930","32202","0.0900","0.105","0.190"
"3186","0.0717","0.0738","0.04530","29586","0.0925","0.110","0.180"
"3892","0.0720","0.0739","0.04970","32479","0.0875","0.100","0.190"
"3912","0.0719","0.0739","0.04630","30232","0.0925","0.110","0.190"
"3891","0.0722","0.0742","0.04530","29553","0.0875","0.105","0.190"
"3175","0.0724","0.0745","0.04150","27129","0.0900","0.110","0.180"
"3155","0.0727","0.0746","0.04470","29195","0.0850","0.100","0.180"
"3538","0.0725","0.0746","0.04180","27317","0.0900","0.110","0.185"
"3518","0.0727","0.0747","0.04490","29343","0.0850","0.100","0.185"
"3901","0.0726","0.0747","0.04250","27718","0.0900","0.110","0.190"
"3849","0.0727","0.0748","0.03820","24911","0.0775","0.095","0.190"
"3881","0.0729","0.0748","0.04550","29676","0.0850","0.100","0.190"
"3154","0.0728","0.0749","0.04060","26499","0.0850","0.105","0.180"
"3144","0.0730","0.0750","0.04070","26594","0.0825","0.100","0.180"
"3164","0.0728","0.0750","0.03810","24874","0.0875","0.110","0.180"
"3507","0.0730","0.0750","0.04090","26723","0.0825","0.100","0.185"
