"LOAN_ID","MEMBER_ID","LOAN_AMOUNT","FUNDED_AMOUNT","TERM","INTEREST_RATE","EXPECTED_DEFAULT_RATE","SERVICE_FEE_RATE","INSTALLMENT","GRADE","SUBGRADE","EMPLOYMENT_LENGTH","HOME_OWNERSHIP","ANNUAL_INCOME","ANNUAL_INCOME_VERIFIED","ACCEPTED_DATE","EXPIRATION_DATE","LISTING_DATE","CREDIT_PULL_DATE","REVIEW_STATUS_DATE","REVIEW_STATUS","DESCRIPTION","PURPOSE","ADDRESS_ZIP","ADDRESS_STATE","INVESTOR_COUNT","INITIAL_LIST_STATUS","EMP_TITLE","INITIAL_LIST_STATUS_EXPIRE_DATE","ACCOUNTS_NOW_DELINQUENT","ACCOUNTS_OPEN_IN_PAST_24_MTHS","BANK_CARDS_AMOUNT_OPEN_TO_BUY","BANK_CARDS_UTILIZATION_RATIO","DEBT_TO_INCOME_RATIO","DELINQUENCIES_IN_LAST_2_YEARS","DELINQUENT_AMOUNT","EARLIEST_CREDIT_LINE_DATE","FICO_RANGE_LOW","FICO_RANGE_HIGH","INQUIRIES_IN_LAST_6_MONTHS","MONTHS_SINCE_LAST_DELINQUENCY","MONTHS_SINCE_LAST_RECORD","MONTHS_SINCE_LAST_INQUIRY","MONTHS_SINCE_RECENT_REVOLVING_DELINQUENCY","MONTHS_SINCE_RECENT_BANK_CARD","MORTGAGE_ACCOUNTS","OPEN_ACCOUNTS","PUBLIC_RECORDS","TOTAL_BALANCE_EXCLUDING_MORTGAGE","REVOLVING_BALANCE","REVOLVING_UTILIZATION","TOTAL_BANK_CARD_LIMIT","TOTAL_ACCOUNTS","TOTAL_IL_HIGH_CREDIT_LIMIT","NUM_REV_ACCTS","MTHS_SINCE_RECENT_BC_DLQ","PUB_REC_BANKRUPTCIES","NUM_ACCTS_EVER_120_PPD","CHARGEOFF_WITHIN_12_MTHS","COLLECTIONS_12_MTHS_EXMED","TAX_LIENS","MTHS_SINCE_LAST_MAJOR_DEROG","NUM_STATS","NUM_TL_OP_PAST_12_M","MO_SIN_RCNT_TL","TO_HI_CRED_LIM","TO_CUR_BAL","AVG_CUR_BAL","NUM_BC_TL","NUM_ACTV_BC_TL","NUM_BC_STATS","PCT_TL_NVR_DLQ","NUM_TL_90_G_DPD_24_M","NUM_TL_30_DPD","NUM_TL_120_DPD_2_M","NUM_IL_TL","MO_SIN_OLD_IL_ACCT","NUM_ACTV_REV_TL","MO_SIN_OLD_REV_TL_OP","MO_SIN_RCNT_REV_TL_OP","TOTAL_REV_HI_LIM","NUM_REV_TL_BAL_GT0","NUM_OP_REV_TL","TOT_COLL_AMT","PERCENT_OF_BANK_CARDS_OVER_75_PERCENT_UTIL","APPLICATION_TYPE","ANNUAL_INCOME_JOINT","DTI_JOINT","ANNUAL_INCOME_JOINT_VERIFIED","OPEN_ACC_6M","OPEN_ACT_IL","OPEN_IL_12M","OPEN_IL_24M","MTHS_SINCE_RCNT_IL","TOTAL_BAL_IL","IL_UTIL","OPEN_RV_12M","OPEN_RV_24M","MAX_BAL_BC","ALL_UTIL","INQ_FI","TOTAL_CU_TL","INQ_LAST_12M","MTG_PAYMENT","HOUSING_PAYMENT","REVOL_BAL_JOINT","SEC_APP_FICO_RANGE_LOW","SEC_APP_FICO_RANGE_HIGH","SEC_APP_EARLIEST_CR_LINE","SEC_APP_INQ_LAST_6MTHS","SEC_APP_MORT_ACC","SEC_APP_OPEN_ACC","SEC_APP_REVOL_UTIL","SEC_APP_OPEN_ACT_IL","SEC_APP_NUM_REV_ACCTS","SEC_APP_CHARGEOFF_WITHIN_12_MTHS","SEC_APP_COLLECTIONS_12_MTHS_EX_MED","SEC_APP_MTHS_SINCE_LAST_MAJOR_DEROG","DISBURSEMENT_METHOD"

"169096034","218047992","1000.0","0.0","36","20.74","12.55","1.73","37.55","C","C5","12","MORTGAGE","59500.0","VERIFIED","2020-06-10T09:53:07.000-07:00","2020-07-10T14:00:00.000-07:00","2020-06-10T14:00:00.000-07:00","2020-06-10T09:50:05.000-07:00","2020-06-10T10:33:02.000-07:00","APPROVED","","debt_consolidation","190xx","PA","0","F","Purchasing assistant ","2020-06-10T14:00:00.000-07:00","0","1","4807","90.0","30.72","0","0.0","2004-03-09T16:00:00.000-08:00","710","714","0","","","13","","43","1","10","0","53017","46418.0","88.9","48200","14","33327","6","","0","0","0","0","0","","10","0","13","175777","124200","12420","5","4","4","100","0","0","0","7","177","5","195","43","52200","5","5","0","75.0","INDIVIDUAL","","","","0","3","0","1","13","6599.0","19.8","0","0","17286.0","62.0","1","0","0","1056.13",,"","","","","","","","","","","","","","CASH"

"169094970","218058924","4000.0","0.0","36","10.81","4.67","1.28","130.6","A","A5","336","MORTGAGE","69350.0","VERIFIED","2020-06-10T07:11:06.000-07:00","2020-07-10T14:00:00.000-07:00","2020-06-10T14:00:00.000-07:00","2020-06-10T07:04:22.000-07:00","2020-06-10T10:55:34.000-07:00","APPROVED","","home_improvement","234xx","VA","0","F","Teacher","2020-06-10T14:00:00.000-07:00","0","2","2101","84.9","14.38","0","0.0","2011-07-09T17:00:00.000-07:00","695","699","0","60","","7","","18","2","9","0","21215","12763.0","69.4","13900","16","25073","6","","0","0","0","0","0","","9","0","15","367495","299493","37437","3","2","3","93","0","0","0","8","100","4","107","18","18400","4","5","176","50.0","INDIVIDUAL","","","","0","2","0","1","15","8452.0","33.7","0","1","9802.0","48.8","0","0","1","2218.04",,"","","","","","","","","","","","","","CASH"

"169096040","218047999","5000.0","0.0","36","9.56","4.67","1.28","160.31","A","A3","144","RENT","45000.0","NOT_VERIFIED","2020-06-10T10:02:26.000-07:00","2020-07-10T14:00:00.000-07:00","2020-06-10T14:00:00.000-07:00","2020-06-10T10:00:07.000-07:00","2020-06-10T10:03:40.000-07:00","APPROVED","","debt_consolidation","761xx","TX","0","F","Assistant Manager","2020-06-10T14:00:00.000-07:00","0","3","9607","31.4","27.09","0","0.0","2012-07-09T17:00:00.000-07:00","745","749","0","","","16","","56","0","5","0","22698","4841.0","30.3","14000","9","29566","3","","0","0","0","0","0","","5","0","16","45566","22698","4540","2","2","2","100","0","0","0","6","88","3","95","19","16000","3","3","0","0.0","INDIVIDUAL","","","","0","2","0","2","16","17857.0","60.4","0","1","3401.0","49.8","1","0","0","0.0",,"","","","","","","","","","","","","","CASH"

"169087714","218016493","5500.0","0.0","36","14.02","9.43","1.53","188.04","B","B2","36","RENT","75000.0","NOT_VERIFIED","2020-06-10T12:18:13.000-07:00","2020-07-10T14:00:00.000-07:00","2020-06-10T14:00:00.000-07:00","2020-06-05T16:23:41.000-07:00","2020-06-10T12:22:13.000-07:00","APPROVED","","debt_consolidation","943xx","CA","0","F","Property Manager","2020-06-10T14:00:00.000-07:00","0","5","7078","54.3","27.36","0","0.0","2005-10-04T17:00:00.000-07:00","695","699","0","48","","8","48","10","0","11","0","49100","11775.0","48.5","15500","27","50131","15","48","0","2","0","0","0","49","11","4","8","74431","49100","4464","10","3","3","95","0","0","0","12","176","5","142","10","24300","5","6","0","0.0","INDIVIDUAL","","","","0","5","1","2","8","37325.0","74.5","3","3","6211.0","66.0","3","3","6","0.0",,"","","","","","","","","","","","","","CASH"

"169100029","218061962","7000.0","0.0","36","9.56","4.67","1.28","224.43","A","A3","36","RENT","76000.0","VERIFIED","2020-06-10T10:59:13.000-07:00","2020-07-10T14:00:00.000-07:00","2020-06-10T14:00:00.000-07:00","2020-06-10T09:28:57.000-07:00","2020-06-10T11:19:52.000-07:00","APPROVED","","credit_card","207xx","MD","0","F","Professor of Anthropology","2020-06-10T14:00:00.000-07:00","0","5","26171","40.9","14.21","0","0.0","2002-08-09T17:00:00.000-07:00","725","729","0","37","","1","39","15","0","15","0","65671","18129.0","38.0","44300","34","60805","15","39","0","1","0","0","0","37","15","1","8","108505","65671","4378","8","2","7","77","0","0","0","19","214","2","214","8","47700","2","10","0","0.0","INDIVIDUAL","","","","0","5","0","1","21","47542.0","78.2","1","4","11019.0","60.5","8","2","8","0.0",,"","","","","","","","","","","","","","CASH"
