"zip_1st3","meanlats","meanlons"
"005xx",40.81,-73.04
"006xx",18.3175058823529,-66.8048352941177
"007xx",18.1454138266797,-66.1303018500487
"008xx",18.0927586206897,-64.8355172413793
"009xx",18.3824159663866,-66.0916596638655
"010xx",42.264094488189,-72.606062992126
"011xx",42.1043396226415,-72.5371698113208
"012xx",42.3303529411765,-73.2487058823529
"013xx",42.6079452054795,-72.5461643835616
"014xx",42.5882978723404,-71.7546808510638
"015xx",42.2117821782178,-71.7991089108911
"016xx",42.2629166666667,-71.81375
"017xx",42.3543103448276,-71.4272413793103
"018xx",42.6092,-71.1914666666667
"019xx",42.6052631578947,-70.890350877193
"020xx",42.1459701492537,-70.9919402985075
"021xx",42.3231205673759,-71.0593617021277
"022xx",42.3491304347826,-71.0634782608696
"023xx",41.9945977011494,-70.8851724137931
"024xx",42.3431034482759,-71.2090804597701
"025xx",41.5657575757576,-70.5701515151515
"026xx",41.7101470588235,-70.1920588235294
"027xx",41.7743243243243,-71.0887837837838
"028xx",41.63,-71.5387234042553
"029xx",41.8217777777778,-71.422
"030xx",42.8816666666667,-71.475625
"031xx",42.9975,-71.45625
"032xx",43.5180991735537,-71.657520661157
"033xx",43.2216666666667,-71.54
"034xx",42.9108163265306,-72.2189795918367
"035xx",44.5665957446809,-71.4934042553191
"036xx",43.1733333333333,-72.35
"037xx",43.7190476190476,-72.1328571428571
"038xx",43.4134265734266,-71.0475524475524
"039xx",43.2026666666667,-70.724
"040xx",43.7425,-70.4791935483871
"041xx",43.6536585365854,-70.2412195121951
"042xx",44.3097826086956,-70.3915217391304
"043xx",44.3010256410256,-69.755641025641
"044xx",45.2183018867925,-68.7321383647799
"045xx",43.9071153846154,-69.6084615384615
"046xx",44.5922608695652,-67.9714782608696
"047xx",46.666,-68.2716842105263
"048xx",44.1066666666667,-69.114
"049xx",44.860625,-69.8059722222222
"050xx",43.8127692307692,-72.3938461538462
"051xx",43.2493220338983,-72.6047457627119
"052xx",43.0235416666667,-73.1502083333333
"053xx",42.9389230769231,-72.7169230769231
"054xx",44.5945299145299,-73.0552564102564
"055xx",42.65,-71.14
"056xx",44.3092125984252,-72.581968503937
"057xx",43.6229508196721,-73.062131147541
"058xx",44.6426495726496,-72.1130769230769
"059xx",44.69875,-71.62
"060xx",41.8605298013245,-72.7929139072848
"061xx",41.7515555555556,-72.6867222222222
"062xx",41.8247115384615,-72.0676923076923
"063xx",41.4596551724138,-72.0425287356322
"064xx",41.4373863636364,-72.7668181818182
"065xx",41.3182926829268,-72.920243902439
"066xx",41.1894444444444,-73.1905555555555
"067xx",41.6279,-73.1509
"068xx",41.1794520547945,-73.4383561643836
"069xx",41.09,-73.55
"070xx",40.7669186046512,-74.2168604651163
"071xx",40.7244444444444,-74.172
"072xx",40.6644444444444,-74.2044444444444
"073xx",40.7111111111111,-74.0588888888889
"074xx",41.0431775700935,-74.333738317757
"075xx",40.9158333333333,-74.1727777777778
