"","X","ROI95lo","ROIavg","ROI95hi","fractaken","numtaken","badProb","interest"
"991","1049","0.0612","0.0642","0.0672","0.100000","9916","0.138","0.085"
"975","1033","0.0613","0.0645","0.0677","0.091900","9084","0.136","0.090"
"990","1048","0.0614","0.0645","0.0676","0.095900","9470","0.138","0.090"
"1078","1136","0.0611","0.0646","0.0681","0.089700","8859","0.150","0.100"
"961","1019","0.0616","0.0647","0.0679","0.092900","9174","0.134","0.085"
"1063","1121","0.0615","0.0650","0.0685","0.086200","8517","0.148","0.100"
"1019","1077","0.0616","0.0651","0.0686","0.086000","8500","0.142","0.095"
"946","1004","0.0620","0.0652","0.0684","0.089600","8854","0.132","0.085"
"960","1018","0.0619","0.0652","0.0684","0.088600","8749","0.134","0.090"
"1004","1062","0.0618","0.0653","0.0688","0.082300","8134","0.140","0.095"
"886"," 944","0.0619","0.0654","0.0688","0.075700","7482","0.124","0.085"
"989","1047","0.0619","0.0655","0.0691","0.079000","7800","0.138","0.095"
"974","1032","0.0619","0.0656","0.0692","0.075600","7468","0.136","0.095"
"1017","1075","0.0617","0.0656","0.0696","0.071000","7015","0.142","0.105"
"945","1003","0.0624","0.0657","0.0690","0.085500","8445","0.132","0.090"
"1033","1091","0.0622","0.0658","0.0695","0.080600","7964","0.144","0.100"
"871"," 929","0.0624","0.0659","0.0694","0.072400","7157","0.122","0.085"
"885"," 943","0.0623","0.0659","0.0694","0.072100","7125","0.124","0.090"
"856"," 914","0.0624","0.0660","0.0695","0.069300","6850","0.120","0.085"
"959","1017","0.0624","0.0661","0.0699","0.072600","7172","0.134","0.095"
"870"," 928","0.0628","0.0664","0.0700","0.068900","6811","0.122","0.090"
"1018","1076","0.0630","0.0667","0.0704","0.077300","7633","0.142","0.100"
"944","1002","0.0632","0.0670","0.0708","0.070000","6916","0.132","0.095"
"1003","1061","0.0632","0.0670","0.0708","0.073800","7294","0.140","0.100"
"988","1046","0.0634","0.0672","0.0710","0.070700","6986","0.138","0.100"
"973","1031","0.0633","0.0673","0.0712","0.067700","6690","0.136","0.100"
"958","1016","0.0640","0.0680","0.0720","0.064900","6416","0.134","0.100"
"943","1001","0.0649","0.0690","0.0730","0.062500","6176","0.132","0.100"
"941"," 999","0.0645","0.0692","0.0740","0.048700","4813","0.132","0.110"
"883"," 941","0.0653","0.0697","0.0741","0.052100","5152","0.124","0.100"
"853"," 911","0.0658","0.0703","0.0749","0.047300","4676","0.120","0.100"
"868"," 926","0.0659","0.0703","0.0748","0.049700","4915","0.122","0.100"
"823"," 881","0.0665","0.0713","0.0760","0.043100","4255","0.116","0.100"
"763"," 821","0.0663","0.0716","0.0769","0.034900","3445","0.108","0.100"
"793"," 851","0.0665","0.0716","0.0766","0.038800","3831","0.112","0.100"
"808"," 866","0.0668","0.0717","0.0766","0.040900","4044","0.114","0.100"
"821"," 879","0.0665","0.0722","0.0778","0.033100","3269","0.116","0.110"
"702"," 760","0.0670","0.0732","0.0795","0.024900","2457","0.100","0.105"
"717"," 775","0.0670","0.0732","0.0793","0.026300","2597","0.102","0.105"
"790"," 848","0.0670","0.0732","0.0794","0.027700","2741","0.112","0.115"
"806"," 864","0.0674","0.0732","0.0790","0.031300","3091","0.114","0.110"
"688"," 746","0.0677","0.0738","0.0798","0.025800","2547","0.098","0.100"
