"","ROI95lo","ROIavg","ROI95hi","fractaken","badProb","interest"
"1","0.056487","0.080950","0.105414","0.00051085","0.000","0.140"
"2","0.058502","0.079565","0.100628","0.00066432","0.000","0.135"
"3","0.055414","0.074897","0.094380","0.00078491","0.000","0.130"
"4","0.054832","0.072552","0.090271","0.00093619","0.000","0.125"
"5","0.058475","0.073680","0.088886","0.00115982","0.000","0.120"
"6","0.063608","0.076914","0.090220","0.00138126","0.000","0.115"
"7","0.064723","0.077365","0.090007","0.00148211","0.000","0.110"
"8","0.065616","0.077147","0.088677","0.00170574","0.000","0.105"
"9","0.065678","0.076648","0.087617","0.00184168","0.000","0.100"
"10","0.063585","0.074147","0.084708","0.00199515","0.000","0.095"
"11","0.064321","0.074284","0.084246","0.00214643","0.000","0.090"
"12","0.064307","0.073660","0.083013","0.00231964","0.000","0.085"
"13","0.064078","0.072925","0.081773","0.00248407","0.000","0.080"
"14","0.059596","0.067746","0.075896","0.00288968","0.000","0.075"
"15","0.059596","0.067466","0.075337","0.00301684","0.000","0.070"
"16","0.071158","0.082135","0.093111","0.00260904","0.005","0.140"
"17","0.072127","0.081705","0.091283","0.00327336","0.005","0.135"
"18","0.072893","0.081544","0.090195","0.00388725","0.005","0.130"
"19","0.072147","0.079914","0.087681","0.00468970","0.005","0.125"
"20","0.073152","0.079917","0.086683","0.00574209","0.005","0.120"
"21","0.074647","0.080699","0.086751","0.00671993","0.005","0.115"
"22","0.074500","0.080291","0.086082","0.00717377","0.005","0.110"
"23","0.071257","0.076656","0.082055","0.00813627","0.005","0.105"
"24","0.070337","0.075454","0.080570","0.00881813","0.005","0.100"
"25","0.069636","0.074482","0.079327","0.00953945","0.005","0.095"
"26","0.069460","0.074080","0.078700","0.01017088","0.005","0.090"
"27","0.068890","0.073254","0.077618","0.01095140","0.005","0.085"
"28","0.067711","0.071902","0.076093","0.01160476","0.005","0.080"
"29","0.064999","0.068771","0.072543","0.01353194","0.005","0.075"
"30","0.064693","0.068355","0.072016","0.01405375","0.005","0.070"
"31","0.062242","0.069144","0.076046","0.00716719","0.010","0.140"
"32","0.062340","0.068364","0.074387","0.00903518","0.010","0.135"
"33","0.062867","0.068260","0.073653","0.01086809","0.010","0.130"
"34","0.063558","0.068425","0.073292","0.01286324","0.010","0.125"
"35","0.065951","0.070192","0.074433","0.01573976","0.010","0.120"
"36","0.066848","0.070680","0.074512","0.01829180","0.010","0.115"
"37","0.066720","0.070386","0.074051","0.01956563","0.010","0.110"
"38","0.065705","0.069095","0.072485","0.02217248","0.010","0.105"
"39","0.064939","0.068173","0.071406","0.02387384","0.010","0.100"
"40","0.064407","0.067487","0.070566","0.02561904","0.010","0.095"
"41","0.064077","0.067022","0.069966","0.02722832","0.010","0.090"
"42","0.063936","0.066709","0.069482","0.02937914","0.010","0.085"
"43","0.063203","0.065862","0.068520","0.03113750","0.010","0.080"
"44","0.061861","0.064248","0.066635","0.03596313","0.010","0.075"
"45","0.061451","0.063772","0.066093","0.03732904","0.010","0.070"
"46","0.061393","0.067009","0.072624","0.01097552","0.015","0.140"
"47","0.061953","0.066874","0.071795","0.01372926","0.015","0.135"
"48","0.061826","0.066239","0.070651","0.01655755","0.015","0.130"
"49","0.062338","0.066332","0.070327","0.01944285","0.015","0.125"
"50","0.063935","0.067441","0.070946","0.02374448","0.015","0.120"
"51","0.064999","0.068177","0.071354","0.02747168","0.015","0.115"
"52","0.065356","0.068390","0.071425","0.02937694","0.015","0.110"
"53","0.064636","0.067442","0.070248","0.03316115","0.015","0.105"
"54","0.064325","0.066996","0.069667","0.03567592","0.015","0.100"
"55","0.063994","0.066537","0.069079","0.03828277","0.015","0.095"
"56","0.063876","0.066309","0.068741","0.04058925","0.015","0.090"
"57","0.063497","0.065793","0.068088","0.04377710","0.015","0.085"
"58","0.062791","0.064993","0.067196","0.04631380","0.015","0.080"
