"","ROI95lo","ROIavg","ROI95hi","fractaken","badProb","interest"
"1","0.011632","0.077352","0.143071","0.00011766","0.000","0.160"
"2","0.044589","0.093916","0.143243","0.00016809","0.000","0.155"
"3","0.053285","0.096366","0.139446","0.00019891","0.000","0.150"
"4","0.064041","0.100840","0.137640","0.00025214","0.000","0.145"
"5","0.066665","0.097637","0.128609","0.00036140","0.000","0.140"
"6","0.070538","0.096688","0.122837","0.00046225","0.000","0.135"
"7","0.069818","0.093482","0.117146","0.00056311","0.000","0.130"
"8","0.074100","0.094930","0.115761","0.00066957","0.000","0.125"
"9","0.072066","0.091210","0.110355","0.00079283","0.000","0.120"
"10","0.071985","0.089498","0.107012","0.00092731","0.000","0.115"
"11","0.068709","0.085982","0.103254","0.00100295","0.000","0.110"
"12","0.067430","0.083578","0.099726","0.00111501","0.000","0.105"
"13","0.070444","0.085285","0.100126","0.00122987","0.000","0.100"
"14","0.070967","0.084686","0.098405","0.00135034","0.000","0.095"
"15","0.071978","0.085084","0.098189","0.00142318","0.000","0.090"
"16","0.072364","0.084624","0.096885","0.00153804","0.000","0.085"
"17","0.068744","0.080733","0.092722","0.00164450","0.000","0.080"
"18","0.063791","0.074800","0.085810","0.00193025","0.000","0.075"
"19","0.063881","0.074382","0.084883","0.00203391","0.000","0.070"
"20","0.056575","0.083846","0.111117","0.00059392","0.005","0.160"
"21","0.054871","0.076784","0.098697","0.00087408","0.005","0.155"
"22","0.064382","0.083627","0.102871","0.00105618","0.005","0.150"
"23","0.068568","0.085440","0.102312","0.00133353","0.005","0.145"
"24","0.070296","0.084395","0.098493","0.00184060","0.005","0.140"
"25","0.071584","0.083788","0.095992","0.00229725","0.005","0.135"
"26","0.069197","0.080235","0.091274","0.00285756","0.005","0.130"
"27","0.070327","0.080267","0.090208","0.00337584","0.005","0.125"
"28","0.071699","0.080402","0.089104","0.00416027","0.005","0.120"
"29","0.072786","0.080663","0.088539","0.00486626","0.005","0.115"
"30","0.072002","0.079589","0.087176","0.00521084","0.005","0.110"
"31","0.072138","0.078990","0.085843","0.00599527","0.005","0.105"
"32","0.071842","0.078263","0.084685","0.00655838","0.005","0.100"
"33","0.071564","0.077635","0.083706","0.00709907","0.005","0.095"
"34","0.072040","0.077838","0.083637","0.00750529","0.005","0.090"
"35","0.070855","0.076301","0.081748","0.00818887","0.005","0.085"
"36","0.070231","0.075497","0.080764","0.00858388","0.005","0.080"
"37","0.067766","0.072427","0.077089","0.01018075","0.005","0.075"
"38","0.067192","0.071699","0.076205","0.01064301","0.005","0.070"
"39","0.067942","0.084287","0.100632","0.00172854","0.010","0.160"
"40","0.067392","0.080592","0.093792","0.00253258","0.010","0.155"
"41","0.070422","0.082042","0.093662","0.00310690","0.010","0.150"
"42","0.067895","0.078389","0.088884","0.00386611","0.010","0.145"
"43","0.068740","0.077366","0.085991","0.00548819","0.010","0.140"
"44","0.070077","0.077555","0.085033","0.00696460","0.010","0.135"
"45","0.064906","0.071745","0.078585","0.00848583","0.010","0.130"
"46","0.067233","0.073391","0.079549","0.00991181","0.010","0.125"
"47","0.069337","0.074706","0.080075","0.01214182","0.010","0.120"
"48","0.070298","0.075156","0.080014","0.01412531","0.010","0.115"
"49","0.070520","0.075145","0.079771","0.01518709","0.010","0.110"
"50","0.070924","0.075112","0.079299","0.01744792","0.010","0.105"
"51","0.070565","0.074527","0.078489","0.01887670","0.010","0.100"
"52","0.070675","0.074419","0.078164","0.02037272","0.010","0.095"
"53","0.070753","0.074344","0.077936","0.02144010","0.010","0.090"
"54","0.070069","0.073424","0.076779","0.02344599","0.010","0.085"
"55","0.069438","0.072679","0.075920","0.02456941","0.010","0.080"
"56","0.066746","0.069627","0.072507","0.02900422","0.010","0.075"
"57","0.066476","0.069269","0.072062","0.03011363","0.010","0.070"
"58","0.068606","0.081567","0.094528","0.00276791","0.015","0.160"
"59","0.069997","0.080396","0.090795","0.00410424","0.015","0.155"
"60","0.072576","0.081729","0.090881","0.00505956","0.015","0.150"
"61","0.069096","0.077426","0.085757","0.00618297","0.015","0.145"
"62","0.069478","0.076311","0.083145","0.00873517","0.015","0.140"
"63","0.071796","0.077711","0.083626","0.01101001","0.015","0.135"
"64","0.068076","0.073457","0.078837","0.01335769","0.015","0.130"
"65","0.068910","0.073804","0.078698","0.01550926","0.015","0.125"
"66","0.070653","0.074935","0.079216","0.01893273","0.015","0.120"
"67","0.071278","0.075176","0.079075","0.02187153","0.015","0.115"
"68","0.070975","0.074704","0.078432","0.02354965","0.015","0.110"
"69","0.070525","0.073935","0.077345","0.02693950","0.015","0.105"
"70","0.070174","0.073404","0.076634","0.02913029","0.015","0.100"
"71","0.070130","0.073183","0.076236","0.03143315","0.015","0.095"
"72","0.070018","0.072960","0.075902","0.03297119","0.015","0.090"
"73","0.069207","0.071964","0.074722","0.03592120","0.015","0.085"
"74","0.068321","0.070994","0.073666","0.03759651","0.015","0.080"
"75","0.066013","0.068393","0.070772","0.04406804","0.015","0.075"
"76","0.065655","0.067965","0.070275","0.04573215","0.015","0.070"
"77","0.065068","0.075443","0.085817","0.00452727","0.020","0.160"
"78","0.066083","0.074475","0.082867","0.00670966","0.020","0.155"
"79","0.070826","0.078177","0.085528","0.00825891","0.020","0.150"
"80","0.068031","0.074682","0.081333","0.01006589","0.020","0.145"
"81","0.068904","0.074352","0.079799","0.01410009","0.020","0.140"
"82","0.069735","0.074513","0.079291","0.01759640","0.020","0.135"
"83","0.067898","0.072203","0.076507","0.02137286","0.020","0.130"
"84","0.068695","0.072621","0.076547","0.02470108","0.020","0.125"
"85","0.069907","0.073342","0.076778","0.03016966","0.020","0.120"
"86","0.070522","0.073650","0.076778","0.03475016","0.020","0.115"
"87","0.070571","0.073557","0.076543","0.03737239","0.020","0.110"
"88","0.069955","0.072696","0.075436","0.04257203","0.020","0.105"
"89","0.069578","0.072171","0.074763","0.04611876","0.020","0.100"
"90","0.069324","0.071784","0.074244","0.04964589","0.020","0.095"
"91","0.069203","0.071579","0.073956","0.05193754","0.020","0.090"
"92","0.068306","0.070539","0.072773","0.05647041","0.020","0.085"
"93","0.067607","0.069770","0.071932","0.05908143","0.020","0.080"
"94","0.065800","0.067726","0.069651","0.06889519","0.020","0.075"
"95","0.065425","0.067294","0.069163","0.07146419","0.020","0.070"
"96","0.068464","0.077562","0.086659","0.00576555","0.025","0.160"
"97","0.067285","0.074753","0.082222","0.00848863","0.025","0.155"
"98","0.071723","0.078262","0.084800","0.01047211","0.025","0.150"
"99","0.069096","0.074994","0.080891","0.01280018","0.025","0.145"
"100","0.070302","0.075141","0.079980","0.01782052","0.025","0.140"
"101","0.070899","0.075141","0.079383","0.02225814","0.025","0.135"
"102","0.068835","0.072651","0.076466","0.02704876","0.025","0.130"
"103","0.069486","0.072967","0.076449","0.03129868","0.025","0.125"
"104","0.070123","0.073191","0.076258","0.03809238","0.025","0.120"
"105","0.070849","0.073637","0.076425","0.04391956","0.025","0.115"
"106","0.070335","0.073003","0.075671","0.04721696","0.025","0.110"
"107","0.069696","0.072146","0.074596","0.05371371","0.025","0.105"
"108","0.069350","0.071670","0.073989","0.05808969","0.025","0.100"
"109","0.069270","0.071471","0.073672","0.06243206","0.025","0.095"
"110","0.069204","0.071331","0.073457","0.06530083","0.025","0.090"
"111","0.068388","0.070387","0.072387","0.07087867","0.025","0.085"
"112","0.067752","0.069688","0.071624","0.07408362","0.025","0.080"
"113","0.065844","0.067574","0.069304","0.08609097","0.025","0.075"
"114","0.065458","0.067137","0.068817","0.08927631","0.025","0.070"
"115","0.066228","0.074187","0.082146","0.00771541","0.030","0.160"
"116","0.064842","0.071385","0.077929","0.01123693","0.030","0.155"
"117","0.068892","0.074603","0.080314","0.01395161","0.030","0.150"
"118","0.065315","0.070501","0.075687","0.01696886","0.030","0.145"
"119","0.067001","0.071249","0.075497","0.02372895","0.030","0.140"
"120","0.067920","0.071645","0.075370","0.02962336","0.030","0.135"
"121","0.066808","0.070148","0.073488","0.03594361","0.030","0.130"
"122","0.067046","0.070104","0.073161","0.04155227","0.030","0.125"
"123","0.067984","0.070680","0.073375","0.05050035","0.030","0.120"
"124","0.068356","0.070817","0.073279","0.05813452","0.030","0.115"
"125","0.068419","0.070768","0.073116","0.06245728","0.030","0.110"
"126","0.067846","0.070007","0.072169","0.07078622","0.030","0.105"
"127","0.067589","0.069635","0.071682","0.07648733","0.030","0.100"
"128","0.067465","0.069411","0.071357","0.08204276","0.030","0.095"
"129","0.067373","0.069253","0.071133","0.08576319","0.030","0.090"
"130","0.066589","0.068358","0.070128","0.09308078","0.030","0.085"
"131","0.066086","0.067798","0.069511","0.09722985","0.030","0.080"
"132","0.064561","0.066092","0.067623","0.11248977","0.030","0.075"
"133","0.064263","0.065751","0.067240","0.11647915","0.030","0.070"
"134","0.066056","0.073421","0.080786","0.00899011","0.035","0.160"
"135","0.064604","0.070655","0.076706","0.01310555","0.035","0.155"
"136","0.068362","0.073665","0.078969","0.01626848","0.035","0.150"
"137","0.065699","0.070502","0.075306","0.01977599","0.035","0.145"
"138","0.066650","0.070591","0.074532","0.02767910","0.035","0.140"
"139","0.067535","0.070992","0.074449","0.03453164","0.035","0.135"
"140","0.066437","0.069539","0.072641","0.04192487","0.035","0.130"
"141","0.066911","0.069750","0.072589","0.04846924","0.035","0.125"
"142","0.068003","0.070507","0.073011","0.05877887","0.035","0.120"
"143","0.068373","0.070660","0.072947","0.06757847","0.035","0.115"
"144","0.068274","0.070460","0.072647","0.07249795","0.035","0.110"
"145","0.067707","0.069722","0.071736","0.08209879","0.035","0.105"
"146","0.067332","0.069241","0.071149","0.08872161","0.035","0.100"
"147","0.067041","0.068859","0.070677","0.09506707","0.035","0.095"
"148","0.067012","0.068770","0.070529","0.09922454","0.035","0.090"
"149","0.066253","0.067909","0.069564","0.10767955","0.035","0.085"
"150","0.065792","0.067394","0.068997","0.11236090","0.035","0.080"
"151","0.064241","0.065677","0.067113","0.12974439","0.035","0.075"
"152","0.063901","0.065298","0.066695","0.13420162","0.035","0.070"
"153","0.065437","0.072097","0.078756","0.01099880","0.040","0.160"
"154","0.062896","0.068373","0.073851","0.01612840","0.040","0.155"
"155","0.066507","0.071310","0.076113","0.02003933","0.040","0.150"
"156","0.064256","0.068610","0.072965","0.02427805","0.040","0.145"
"157","0.065037","0.068625","0.072213","0.03389569","0.040","0.140"
"158","0.066225","0.069368","0.072510","0.04232269","0.040","0.135"
"159","0.065312","0.068138","0.070965","0.05115591","0.040","0.130"
"160","0.065805","0.068392","0.070978","0.05912346","0.040","0.125"
"161","0.066496","0.068785","0.071074","0.07152302","0.040","0.120"
"162","0.067043","0.069134","0.071226","0.08204276","0.040","0.115"
"163","0.066939","0.068937","0.070935","0.08808846","0.040","0.110"
