"","ROI95lo","ROIavg","ROI95hi","fractaken","badProb","interest"
"5","-0.13927004"," 0.2100000","0.349270","5.1980e-06","0.000","0.210"
"6","-0.13927004"," 0.2100000","0.349270","5.1980e-06","0.000","0.205"
"7","-0.13293388"," 0.2060000","0.544934","1.0396e-05","0.000","0.200"
"8"," 0.01007066"," 0.2017250","0.393379","2.0792e-05","0.000","0.195"
"9","-0.14771474"," 0.0708246","0.289364","3.1188e-05","0.000","0.190"
"10","-0.15856889"," 0.2391000","0.397669","5.1980e-06","0.005","0.230"
"11","-1.38769366","-0.3224607","0.742772","1.0396e-05","0.005","0.225"
"12","-0.77404481","-0.1414405","0.491164","1.5594e-05","0.005","0.220"
"13","-0.66328580","-0.1890293","0.285227","2.0792e-05","0.005","0.215"
"14","-0.36894669","-0.0560195","0.256908","3.1188e-05","0.005","0.210"
"15","-0.22840503"," 0.0093854","0.247176","4.1584e-05","0.005","0.205"
"16","-0.05293949"," 0.0921774","0.237294","7.2773e-05","0.005","0.200"
"17","-0.00244762"," 0.1154324","0.233312","9.3565e-05","0.005","0.195"
"18","-0.05238494"," 0.0510542","0.154493","1.4555e-04","0.005","0.190"
"19"," 0.01181080"," 0.2352250","0.458639","2.0792e-05","0.010","0.230"
"20","-0.27650981","-0.0038650","0.268780","3.6386e-05","0.010","0.225"
"21","-0.13376019"," 0.0641545","0.262069","5.1980e-05","0.010","0.220"
"22","-0.20817659","-0.0330893","0.141998","7.7971e-05","0.010","0.215"
"23","-0.16177735","-0.0356139","0.090549","1.2995e-04","0.010","0.210"
"24","-0.07645946"," 0.0231410","0.122741","1.7154e-04","0.010","0.205"
"25","-0.02174784"," 0.0558435","0.133435","2.3391e-04","0.010","0.200"
"26","-0.02982132"," 0.0373920","0.104605","3.3267e-04","0.010","0.195"
"27","-0.07816897","-0.0177683","0.042632","5.0941e-04","0.010","0.190"
"28"," 0.08913815"," 0.2356875","0.382237","4.1584e-05","0.015","0.230"
"29","-0.07569670"," 0.0954454","0.266588","6.2377e-05","0.015","0.225"
"30","-0.13390362"," 0.0165228","0.166949","1.0396e-04","0.015","0.220"
"31","-0.12158957","-0.0031891","0.115211","1.6114e-04","0.015","0.215"
"32","-0.11057925","-0.0169967","0.076586","2.3911e-04","0.015","0.210"
"33","-0.07170273"," 0.0089951","0.089693","2.9109e-04","0.015","0.205"
"34","-0.02862412"," 0.0351323","0.098889","4.1065e-04","0.015","0.200"
"35","-0.01801574"," 0.0340479","0.086112","5.8218e-04","0.015","0.195"
"36","-0.02076652"," 0.0220222","0.064811","8.9406e-04","0.015","0.190"
"37"," 0.13238933"," 0.2362933","0.340197","7.7971e-05","0.020","0.230"
"38"," 0.03612449"," 0.1516622","0.267200","1.0396e-04","0.020","0.225"
"39","-0.01162373"," 0.0931502","0.197924","1.6114e-04","0.020","0.220"
"40","-0.01116998"," 0.0748981","0.160966","2.3911e-04","0.020","0.215"
"41","-0.03020160"," 0.0415469","0.113295","3.5347e-04","0.020","0.210"
"42"," 0.00674160"," 0.0666978","0.126654","4.4703e-04","0.020","0.205"
"43"," 0.02039198"," 0.0700006","0.119609","6.2896e-04","0.020","0.200"
