"","ROI95lo","ROIavg","ROI95hi","fractaken","badProb","interest"
"162","0.0675868","0.090023","0.11246","0.00272897","0.060","0.205"
"174","0.0550653","0.090929","0.12679","0.00110718","0.065","0.220"
"129","0.0478543","0.091072","0.13429","0.00078490","0.050","0.220"
"159","0.0537216","0.091321","0.12892","0.00102921","0.060","0.220"
"131","0.0633805","0.091414","0.11945","0.00167897","0.050","0.210"
"146","0.0656959","0.092247","0.11880","0.00189729","0.055","0.210"
"161","0.0679501","0.092373","0.11680","0.00224036","0.060","0.210"
"177","0.0717133","0.092721","0.11373","0.00303046","0.065","0.205"
"98","0.0279912","0.093092","0.15819","0.00034827","0.040","0.225"
"203","0.0540979","0.093486","0.13287","0.00091486","0.075","0.225"
"69","0.0220276","0.093592","0.16516","0.00029629","0.030","0.220"
"176","0.0716050","0.094739","0.11787","0.00244828","0.065","0.210"
"144","0.0550022","0.095478","0.13595","0.00087847","0.055","0.220"
"173","0.0529735","0.097143","0.14131","0.00071733","0.065","0.225"
"158","0.0527651","0.099171","0.14558","0.00066015","0.060","0.225"
"186","0.0347282","0.099484","0.16424","0.00037426","0.070","0.235"
"85","0.0517473","0.100771","0.14979","0.00057179","0.035","0.215"
"84","0.0423572","0.102414","0.16247","0.00038466","0.035","0.220"
"201","0.0442051","0.104055","0.16391","0.00041584","0.075","0.235"
"113","0.0458193","0.105588","0.16536","0.00038985","0.045","0.225"
"54","0.0197663","0.107487","0.19521","0.00020272","0.025","0.220"
"128","0.0572622","0.109594","0.16193","0.00049901","0.050","0.225"
"169","0.0021601","0.109953","0.21775","0.00012475","0.065","0.245"
"141","0.0270184","0.110687","0.19436","0.00022352","0.055","0.235"
"187","0.0669050","0.112332","0.15776","0.00063416","0.070","0.230"
"156","0.0374925","0.114039","0.19059","0.00027030","0.060","0.235"
"185","0.0295234","0.115091","0.20066","0.00020272","0.070","0.240"
"157","0.0643903","0.115351","0.16631","0.00049901","0.060","0.230"
"171","0.0452676","0.116207","0.18715","0.00030668","0.065","0.235"
"143","0.0690993","0.117100","0.16510","0.00056659","0.055","0.225"
"202","0.0752564","0.117355","0.15945","0.00071213","0.075","0.230"
"172","0.0688291","0.117634","0.16644","0.00054060","0.065","0.230"
"200","0.0387988","0.119400","0.20000","0.00021832","0.075","0.240"
"154","0.0044035","0.121275","0.23815","0.00010396","0.060","0.245"
"170","0.0323394","0.122176","0.21201","0.00018193","0.065","0.240"
"127","0.0637148","0.122221","0.18073","0.00037946","0.050","0.230"
"97","0.0546429","0.124350","0.19406","0.00027030","0.040","0.230"
"184","0.0259427","0.125140","0.22434","0.00014035","0.070","0.245"
"111","0.0177350","0.126236","0.23474","0.00014035","0.045","0.235"
"83","0.0590091","0.127243","0.19548","0.00024431","0.035","0.225"
"155","0.0301756","0.127399","0.22462","0.00015594","0.060","0.240"
"142","0.0741206","0.127488","0.18086","0.00043664","0.055","0.230"
"125","0.0099739","0.127907","0.24584","0.00010396","0.050","0.240"
"199","0.0329976","0.129803","0.22661","0.00014555","0.075","0.245"
"112","0.0706436","0.134214","0.19778","0.00030668","0.045","0.230"
"140","0.0303736","0.135861","0.24135","0.00011956","0.055","0.240"
"68","0.0570087","0.136548","0.21609","0.00018193","0.030","0.225"
"82","0.0855179","0.156406","0.22729","0.00018713","0.035","0.230"
