"","ROI95lo","ROIavg","ROI95hi","fractaken","badProb","interest"
"7","-0.13588777"," 0.2049000","0.340788","5.1980e-06","0.000","0.200"
"8","-0.03267294"," 0.1999333","0.432540","1.5594e-05","0.000","0.195"
"9"," 0.00986148"," 0.1975750","0.385289","2.0792e-05","0.000","0.190"
"10","-0.15259736"," 0.2365500","0.625697","1.0396e-05","0.005","0.230"
"11","-0.15259736"," 0.2365500","0.625697","1.0396e-05","0.005","0.225"
"12","-0.03801850"," 0.2323667","0.502752","1.5594e-05","0.005","0.220"
"13","-0.11091064"," 0.1040879","0.319086","3.1188e-05","0.005","0.215"
"14","-0.07014583"," 0.1192182","0.308582","3.6386e-05","0.005","0.210"
"15","-0.04005202"," 0.1300909","0.300234","4.1584e-05","0.005","0.205"
"16"," 0.01678726"," 0.1502298","0.283672","5.7179e-05","0.005","0.200"
"17","-0.04131782"," 0.0761451","0.193608","1.0396e-04","0.005","0.195"
"18","-0.07790973"," 0.0284727","0.134855","1.5594e-04","0.005","0.190"
"19"," 0.04155421"," 0.2341800","0.426806","2.5990e-05","0.010","0.230"
"20","-0.01031575"," 0.1550380","0.320392","3.6386e-05","0.010","0.225"
"21"," 0.04905560"," 0.1565086","0.263962","7.2773e-05","0.010","0.220"
"22"," 0.00919815"," 0.1081708","0.207144","1.0396e-04","0.010","0.215"
"23"," 0.01867906"," 0.1057559","0.192833","1.2995e-04","0.010","0.210"
"24"," 0.05426134"," 0.1277343","0.201207","1.6634e-04","0.010","0.205"
"25"," 0.03649488"," 0.1000331","0.163571","2.5990e-04","0.010","0.200"
"26"," 0.03291698"," 0.0890336","0.145150","3.6386e-04","0.010","0.195"
"27"," 0.01737904"," 0.0675159","0.117653","5.3540e-04","0.010","0.190"
"28"," 0.06227597"," 0.2357000","0.409124","3.1188e-05","0.015","0.230"
"29","-0.13167624"," 0.0673545","0.266385","5.1980e-05","0.015","0.225"
"30"," 0.00859651"," 0.1224000","0.236203","1.0396e-04","0.015","0.220"
"31"," 0.00718659"," 0.1020284","0.196870","1.4555e-04","0.015","0.215"
"32"," 0.01795219"," 0.0949245","0.171897","1.9753e-04","0.015","0.210"
"33"," 0.03125887"," 0.0993756","0.167492","2.6510e-04","0.015","0.205"
"34"," 0.04058003"," 0.0959815","0.151383","3.8985e-04","0.015","0.200"
"35"," 0.04692737"," 0.0917559","0.136584","5.7179e-04","0.015","0.195"
"36"," 0.02781019"," 0.0679351","0.108060","8.4208e-04","0.015","0.190"
"37","-0.01402611"," 0.1036932","0.221412","8.8367e-05","0.020","0.230"
"38","-0.04027077"," 0.0711845","0.182640","1.2475e-04","0.020","0.225"
"39"," 0.03634980"," 0.1152759","0.194202","1.9753e-04","0.020","0.220"
