"","ROI95lo","ROIavg","ROI95hi","fractaken","badProb","interest"
"5","-0.16049214"," 0.2420000","0.402492","3.6380e-06","0.000","0.240"
"6","-0.16049214"," 0.2420000","0.402492","3.6380e-06","0.000","0.235"
"7","-0.16049214"," 0.2420000","0.402492","3.6380e-06","0.000","0.230"
"8","-1.33156327","-0.3038643","0.723835","7.2759e-06","0.000","0.225"
"9","-1.33156327","-0.3038643","0.723835","7.2759e-06","0.000","0.220"
"10","-1.33156327","-0.3038643","0.723835","7.2759e-06","0.000","0.215"
"11","-1.33156327","-0.3038643","0.723835","7.2759e-06","0.000","0.210"
"12","-0.74246641","-0.1326095","0.477247","1.0914e-05","0.000","0.205"
"13","-0.34887516"," 0.0013343","0.351544","1.8190e-05","0.000","0.200"
"14","-0.25803539"," 0.0339786","0.325993","2.1828e-05","0.000","0.195"
"15","-0.33941593","-0.0528470","0.233722","2.5466e-05","0.000","0.190"
"16","-0.27437892","-0.0228036","0.228772","2.9104e-05","0.000","0.185"
"17","-0.03107162"," 0.0820060","0.195084","6.9121e-05","0.000","0.180"
"18"," 0.00204569"," 0.0985528","0.195060","8.3673e-05","0.000","0.175"
"19","-0.00123391"," 0.0892373","0.179708","9.0949e-05","0.000","0.170"
"20"," 0.01510746"," 0.0928339","0.170560","1.0914e-04","0.000","0.165"
"21","-0.00982514"," 0.0715408","0.152907","1.2733e-04","0.000","0.160"
"22","-0.01749999"," 0.0575336","0.132567","1.4552e-04","0.000","0.155"
"23"," 0.00591631"," 0.0730691","0.140222","1.6735e-04","0.000","0.150"
"24"," 0.02755632"," 0.0841579","0.140759","2.0373e-04","0.000","0.145"
"25"," 0.04276787"," 0.0884657","0.134163","2.8012e-04","0.000","0.140"
"26"," 0.04503119"," 0.0845101","0.123989","3.6743e-04","0.000","0.135"
"27"," 0.04556684"," 0.0808650","0.116163","4.4747e-04","0.000","0.130"
"28"," 0.03748448"," 0.0705954","0.103706","5.2386e-04","0.000","0.125"
"29"," 0.02829449"," 0.0595132","0.090732","6.0390e-04","0.000","0.120"
"30"," 0.03968150"," 0.0672848","0.094888","6.9485e-04","0.000","0.115"
"31"," 0.04075373"," 0.0663363","0.091919","7.8580e-04","0.000","0.110"
"35","-0.16248171"," 0.2450000","0.407482","3.6380e-06","0.005","0.245"
"36","-0.18452917"," 0.0894334","0.363396","1.0914e-05","0.005","0.240"
"37","-0.18452917"," 0.0894334","0.363396","1.0914e-05","0.005","0.235"
"38","-0.09776984"," 0.1252750","0.348320","1.4552e-05","0.005","0.230"
"39","-0.49261519","-0.1864733","0.119669","2.5466e-05","0.005","0.225"
"40","-0.24279621","-0.0423431","0.158110","4.0017e-05","0.005","0.220"
"41","-0.12604652"," 0.0273017","0.180650","5.4569e-05","0.005","0.215"
"42","-0.04707116"," 0.0738313","0.194734","7.2759e-05","0.005","0.210"
"43","-0.00037825"," 0.1008170","0.202012","9.0949e-05","0.005","0.205"
"44"," 0.03251424"," 0.1118141","0.191114","1.3460e-04","0.005","0.200"
"45"," 0.04330424"," 0.1098738","0.176443","1.8190e-04","0.005","0.195"
"46"," 0.03492168"," 0.0924606","0.149999","2.4374e-04","0.005","0.190"
"47"," 0.00966459"," 0.0634255","0.117186","3.1650e-04","0.005","0.185"
"48"," 0.03855015"," 0.0817847","0.125019","4.1473e-04","0.005","0.180"
"49"," 0.05691968"," 0.0914674","0.126015","5.7116e-04","0.005","0.175"
"50"," 0.06568108"," 0.0972634","0.128846","6.4028e-04","0.005","0.170"
"51"," 0.07123840"," 0.0999684","0.128698","7.2759e-04","0.005","0.165"
"52"," 0.06615378"," 0.0930001","0.119846","8.5128e-04","0.005","0.160"
"53"," 0.06173050"," 0.0861594","0.110588","9.9316e-04","0.005","0.155"
"54"," 0.06569319"," 0.0881826","0.110672","1.1350e-03","0.005","0.150"
"55"," 0.07467842"," 0.0947914","0.114904","1.3024e-03","0.005","0.145"
"56"," 0.07881887"," 0.0957669","0.112715","1.6844e-03","0.005","0.140"
"57"," 0.07655754"," 0.0918532","0.107149","2.0373e-03","0.005","0.135"
"58"," 0.07740455"," 0.0912468","0.105089","2.3901e-03","0.005","0.130"
"59"," 0.07238295"," 0.0855175","0.098652","2.7321e-03","0.005","0.125"
"60"," 0.06995051"," 0.0817172","0.093484","3.2451e-03","0.005","0.120"
