"","ROI95lo","ROIavg","ROI95hi","fractaken","badProb","interest"
"657","0.06209521","0.090204","0.11831","1.3024e-03","0.105","0.235"
"751","0.07148260","0.090231","0.10898","2.8340e-03","0.120","0.230"
"564","0.05984078","0.090277","0.12071","1.0987e-03","0.090","0.235"
"410","0.06293842","0.090664","0.11839","1.2187e-03","0.065","0.230"
"107","0.06152010","0.090693","0.11987","1.0477e-03","0.015","0.195"
"77","0.05928258","0.090842","0.12240","8.4400e-04","0.010","0.190"
"720","0.07165510","0.090909","0.11016","2.6484e-03","0.115","0.230"
"471","0.05643741","0.091080","0.12572","8.2945e-04","0.075","0.235"
"595","0.06127785","0.091135","0.12099","1.1460e-03","0.095","0.235"
"58","0.07740455","0.091247","0.10509","2.3901e-03","0.005","0.130"
"113","0.07794140","0.091415","0.10489","3.7580e-03","0.015","0.165"
"49","0.05691968","0.091467","0.12602","5.7116e-04","0.005","0.175"
"80","0.07180753","0.091532","0.11126","1.8226e-03","0.010","0.175"
"502","0.05910483","0.091832","0.12456","9.2040e-04","0.080","0.235"
"57","0.07655754","0.091853","0.10715","2.0373e-03","0.005","0.135"
"655","0.05155310","0.092255","0.13296","6.5119e-04","0.105","0.245"
"379","0.06354217","0.092458","0.12137","1.1023e-03","0.060","0.230"
"112","0.07823072","0.092460","0.10669","3.4233e-03","0.015","0.170"
"46","0.03492168","0.092461","0.15000","2.4374e-04","0.005","0.190"
"689","0.07332053","0.092791","0.11226","2.5538e-03","0.110","0.230"
"20","0.01510746","0.092834","0.17056","1.0914e-04","0.000","0.165"
"52","0.06615378","0.093000","0.11985","8.5128e-04","0.005","0.160"
"111","0.07800682","0.093462","0.10892","2.9868e-03","0.015","0.175"
"533","0.06204403","0.093559","0.12507","9.8225e-04","0.085","0.235"
"473","0.07183385","0.094287","0.11674","1.8554e-03","0.075","0.225"
"504","0.07308342","0.094524","0.11596","2.0263e-03","0.080","0.225"
"55","0.07467842","0.094791","0.11490","1.3024e-03","0.005","0.145"
"105","0.05505882","0.095004","0.13495","6.0026e-04","0.015","0.205"
"626","0.06654464","0.095174","0.12380","1.2260e-03","0.100","0.235"
"624","0.05387788","0.095758","0.13764","6.1481e-04","0.100","0.245"
"56","0.07881887","0.095767","0.11271","1.6844e-03","0.005","0.140"
"659","0.07733055","0.095863","0.11439","2.8121e-03","0.105","0.225"
"535","0.07517191","0.095872","0.11657","2.1537e-03","0.085","0.225"
"566","0.07604587","0.095924","0.11580","2.3901e-03","0.090","0.225"
"628","0.07774820","0.096687","0.11563","2.6666e-03","0.100","0.225"
"50","0.06568108","0.097263","0.12885","6.4028e-04","0.005","0.170"
"162","0.04244812","0.097375","0.15230","3.1286e-04","0.025","0.230"
"503","0.07417442","0.097708","0.12124","1.6698e-03","0.080","0.230"
"472","0.07302991","0.097751","0.12247","1.5207e-03","0.075","0.230"
"597","0.07861443","0.098052","0.11749","2.4956e-03","0.095","0.225"
"658","0.07867224","0.098809","0.11895","2.3610e-03","0.105","0.230"
"565","0.07767615","0.099364","0.12105","1.9863e-03","0.090","0.230"
"285","0.04985142","0.099401","0.14895","3.9290e-04","0.045","0.235"
"534","0.07678079","0.099437","0.12209","1.7790e-03","0.085","0.230"
"51","0.07123840","0.099968","0.12870","7.2759e-04","0.005","0.165"
"596","0.07986484","0.101063","0.12226","2.0809e-03","0.095","0.230"
"627","0.08060566","0.101192","0.12178","2.2301e-03","0.100","0.230"
"76","0.06704017","0.103257","0.13947","6.2937e-04","0.010","0.195"
"75","0.06366450","0.107542","0.15142","4.6202e-04","0.010","0.200"
"74","0.05745272","0.109647","0.16184","3.4561e-04","0.010","0.205"
"45","0.04330424","0.109874","0.17644","1.8190e-04","0.005","0.195"
"44","0.03251424","0.111814","0.19111","1.3460e-04","0.005","0.200"
"684","0.00198875","0.116373","0.23076","8.7311e-05","0.110","0.255"
"653","0.00026383","0.119699","0.23913","8.3673e-05","0.105","0.255"
"685","0.01081079","0.121830","0.23285","9.0949e-05","0.110","0.250"
"100","0.03338571","0.125060","0.21673","1.0186e-04","0.015","0.230"
"654","0.00953265","0.125245","0.24096","8.7311e-05","0.105","0.250"
