"","ROI95lo","ROIavg","ROI95hi","fractaken","badProb","interest"
"299","0.058860","0.060047","0.061234","0.15947609","0.038","0.075"
"285","0.058950","0.060135","0.061320","0.15570065","0.036","0.070"
"284","0.059081","0.060300","0.061518","0.15050887","0.036","0.075"
"270","0.059223","0.060441","0.061659","0.14626863","0.034","0.070"
"255","0.059234","0.060493","0.061752","0.13678399","0.032","0.070"
"269","0.059354","0.060607","0.061860","0.14134872","0.034","0.075"
"254","0.059358","0.060653","0.061949","0.13214034","0.032","0.075"
"240","0.059423","0.060724","0.062024","0.12760192","0.030","0.070"
"304","0.058542","0.060780","0.063018","0.06535323","0.040","0.125"
"273","0.058295","0.060901","0.063506","0.04962881","0.036","0.130"
"313","0.059630","0.060908","0.062186","0.14838656","0.040","0.080"
"303","0.058460","0.060912","0.063364","0.05613827","0.040","0.130"
"239","0.059578","0.060915","0.062253","0.12322574","0.030","0.075"
"274","0.058577","0.060950","0.063324","0.05790540","0.036","0.125"
"289","0.058682","0.060985","0.063289","0.06154490","0.038","0.125"
"288","0.058507","0.061032","0.063558","0.05281448","0.038","0.130"
"298","0.059733","0.061044","0.062355","0.14029195","0.038","0.080"
"305","0.059188","0.061173","0.063158","0.07916581","0.040","0.120"
"225","0.059872","0.061219","0.062565","0.11793311","0.028","0.070"
"283","0.059931","0.061278","0.062626","0.13225654","0.036","0.080"
"290","0.059363","0.061404","0.063444","0.07463616","0.038","0.120"
"302","0.058693","0.061413","0.064132","0.04688384","0.040","0.135"
"312","0.060083","0.061413","0.062743","0.14073921","0.040","0.085"
"224","0.060029","0.061414","0.062800","0.11386827","0.028","0.075"
"275","0.059322","0.061424","0.063526","0.07022490","0.036","0.120"
"272","0.058671","0.061561","0.064450","0.04139608","0.036","0.135"
"287","0.058770","0.061572","0.064375","0.04407528","0.038","0.135"
"297","0.060211","0.061576","0.062940","0.13304144","0.038","0.085"
"259","0.059151","0.061598","0.064046","0.05414312","0.034","0.125"
"210","0.060203","0.061602","0.063002","0.10856248","0.026","0.070"
"301","0.058526","0.061611","0.064695","0.03782454","0.040","0.140"
"244","0.059081","0.061615","0.064149","0.05050361","0.032","0.125"
"268","0.060276","0.061662","0.063048","0.12408958","0.034","0.080"
"311","0.060263","0.061666","0.063069","0.13114934","0.040","0.090"
"306","0.059873","0.061685","0.063497","0.09084511","0.040","0.115"
"253","0.060260","0.061692","0.063125","0.11599058","0.032","0.080"
"243","0.058949","0.061734","0.064519","0.04318952","0.032","0.130"
"228","0.058849","0.061745","0.064641","0.04000167","0.030","0.130"
"282","0.060349","0.061752","0.063156","0.12534806","0.036","0.085"
"258","0.059078","0.061764","0.064450","0.04637080","0.034","0.130"
"229","0.059137","0.061770","0.064404","0.04678079","0.030","0.125"
"296","0.060351","0.061792","0.063232","0.12391199","0.038","0.090"
"271","0.058527","0.061807","0.065088","0.03329928","0.036","0.140"
"209","0.060389","0.061829","0.063269","0.10477389","0.026","0.075"
"291","0.060034","0.061896","0.063759","0.08568622","0.038","0.115"
"195","0.060451","0.061909","0.063367","0.09911512","0.024","0.070"
"286","0.058755","0.061933","0.065111","0.03548736","0.038","0.140"
"309","0.060413","0.061947","0.063481","0.11607609","0.040","0.100"
"310","0.060504","0.061964","0.063425","0.12428471","0.040","0.095"
"238","0.060523","0.062003","0.063484","0.10802313","0.030","0.080"
"308","0.060397","0.062006","0.063615","0.10842217","0.040","0.105"
"281","0.060530","0.062012","0.063493","0.11671629","0.036","0.090"
"276","0.060100","0.062018","0.063935","0.08067423","0.036","0.115"
"295","0.060593","0.062092","0.063591","0.11742446","0.038","0.095"
"307","0.060372","0.062106","0.063841","0.09695553","0.040","0.110"
"194","0.060615","0.062117","0.063619","0.09561812","0.024","0.075"
"294","0.060546","0.062121","0.063697","0.10958418","0.038","0.100"
"180","0.060601","0.062131","0.063660","0.08963706","0.022","0.070"
"267","0.060707","0.062150","0.063594","0.11755820","0.034","0.085"
"293","0.060532","0.062185","0.063837","0.10232051","0.038","0.105"
"260","0.060036","0.062201","0.064366","0.06567991","0.034","0.120"
"245","0.059975","0.062215","0.064455","0.06130592","0.032","0.120"
