"","ROI95lo","ROIavg","ROI95hi","fractaken","badProb","interest"
"441","0.070303","0.090593","0.11088","2.0265e-03","0.070","0.230"
"131","0.041335","0.090723","0.14011","3.7436e-04","0.020","0.230"
"19","0.038874","0.093558","0.14824","1.8254e-04","0.000","0.170"
"255","0.065192","0.093649","0.12211","1.0210e-03","0.040","0.230"
"17","0.025567","0.097438","0.16931","1.2376e-04","0.000","0.180"
"16","0.019906","0.099731","0.17956","1.0519e-04","0.000","0.185"
"99","0.015113","0.102886","0.19066","1.2066e-04","0.015","0.235"
"69","0.015582","0.103538","0.19149","1.2685e-04","0.010","0.230"
"224","0.072308","0.103727","0.13515","8.1988e-04","0.035","0.230"
"162","0.063787","0.105291","0.14680","5.0121e-04","0.025","0.230"
"18","0.044901","0.105312","0.16572","1.5469e-04","0.000","0.175"
"193","0.072842","0.107448","0.14206","6.9922e-04","0.030","0.230"
"100","0.044045","0.110094","0.17614","2.1348e-04","0.015","0.230"
"15","0.030299","0.113289","0.19628","9.2817e-05","0.000","0.190"
"68","0.013808","0.120380","0.22695","7.4253e-05","0.010","0.235"
