"","ROI95lo","ROIavg","fractaken","numtaken","badProb","interest","intceil"
"2"," 0.03530","0.0875","7.81e-05","   51","0.0300","0.135","0.140"
"3"," 0.03620","0.0754","1.59e-04","  104","0.0300","0.130","0.140"
"4"," 0.05050","0.0769","3.12e-04","  204","0.0300","0.125","0.140"
"5"," 0.04970","0.0745","3.46e-04","  226","0.0300","0.120","0.140"
"6"," 0.05410","0.0758","4.26e-04","  278","0.0300","0.115","0.140"
"7"," 0.07180","0.0860","7.67e-04","  501","0.0300","0.110","0.140"
"8"," 0.07190","0.0846","9.37e-04","  612","0.0300","0.105","0.140"
"9"," 0.07450","0.0856","1.11e-03","  728","0.0300","0.100","0.140"
"10"," 0.07100","0.0813","1.30e-03","  850","0.0300","0.095","0.140"
"11"," 0.06890","0.0780","1.60e-03"," 1047","0.0300","0.090","0.140"
"13"," 0.05260","0.0942","1.06e-04","   69","0.0325","0.135","0.140"
"14"," 0.03890","0.0720","2.25e-04","  147","0.0325","0.130","0.140"
"15"," 0.05010","0.0733","4.14e-04","  270","0.0325","0.125","0.140"
"16"," 0.05100","0.0728","4.56e-04","  298","0.0325","0.120","0.140"
"17"," 0.05580","0.0751","5.48e-04","  358","0.0325","0.115","0.140"
"18"," 0.07080","0.0835","1.00e-03","  653","0.0325","0.110","0.140"
"19"," 0.06980","0.0812","1.23e-03","  800","0.0325","0.105","0.140"
"20"," 0.07310","0.0831","1.45e-03","  948","0.0325","0.100","0.140"
"21"," 0.07020","0.0793","1.71e-03"," 1119","0.0325","0.095","0.140"
"22"," 0.06860","0.0765","2.12e-03"," 1382","0.0325","0.090","0.140"
"24"," 0.04010","0.0770","1.35e-04","   88","0.0350","0.135","0.140"
"25"," 0.04660","0.0739","2.93e-04","  191","0.0350","0.130","0.140"
"26"," 0.05420","0.0738","5.38e-04","  351","0.0350","0.125","0.140"
"27"," 0.05570","0.0740","5.94e-04","  388","0.0350","0.120","0.140"
"28"," 0.06180","0.0778","7.23e-04","  472","0.0350","0.115","0.140"
"29"," 0.07390","0.0845","1.33e-03","  867","0.0350","0.110","0.140"
"30"," 0.07160","0.0812","1.65e-03"," 1076","0.0350","0.105","0.140"
"31"," 0.07440","0.0829","1.94e-03"," 1268","0.0350","0.100","0.140"
"32"," 0.07270","0.0804","2.29e-03"," 1494","0.0350","0.095","0.140"
"33"," 0.07160","0.0783","2.81e-03"," 1836","0.0350","0.090","0.140"
"35"," 0.04840","0.0811","1.76e-04","  115","0.0375","0.135","0.140"
"36"," 0.04990","0.0745","3.65e-04","  238","0.0375","0.130","0.140"
"37"," 0.06060","0.0776","6.83e-04","  446","0.0375","0.125","0.140"
"38"," 0.06290","0.0787","7.60e-04","  496","0.0375","0.120","0.140"
"39"," 0.06950","0.0830","9.37e-04","  612","0.0375","0.115","0.140"
"40"," 0.07570","0.0850","1.73e-03"," 1131","0.0375","0.110","0.140"
"41"," 0.07460","0.0829","2.13e-03"," 1390","0.0375","0.105","0.140"
"42"," 0.07650","0.0839","2.50e-03"," 1633","0.0375","0.100","0.140"
"43"," 0.07370","0.0804","2.95e-03"," 1928","0.0375","0.095","0.140"
"44"," 0.07180","0.0777","3.61e-03"," 2357","0.0375","0.090","0.140"
"46"," 0.06000","0.0876","2.34e-04","  153","0.0400","0.135","0.140"
"47"," 0.06450","0.0849","4.73e-04","  309","0.0400","0.130","0.140"
"48"," 0.07130","0.0854","8.84e-04","  577","0.0400","0.125","0.140"
"49"," 0.07180","0.0849","9.92e-04","  648","0.0400","0.120","0.140"
"50"," 0.07440","0.0859","1.22e-03","  798","0.0400","0.115","0.140"
"51"," 0.07840","0.0865","2.18e-03"," 1425","0.0400","0.110","0.140"
"52"," 0.07760","0.0847","2.70e-03"," 1764","0.0400","0.105","0.140"
"53"," 0.07960","0.0859","3.18e-03"," 2077","0.0400","0.100","0.140"
"54"," 0.07680","0.0827","3.71e-03"," 2424","0.0400","0.095","0.140"
"55"," 0.07370","0.0789","4.52e-03"," 2953","0.0400","0.090","0.140"
"57"," 0.06820","0.0923","2.91e-04","  190","0.0425","0.135","0.140"
"58"," 0.07200","0.0898","5.93e-04","  387","0.0425","0.130","0.140"
"59"," 0.07330","0.0859","1.11e-03","  725","0.0425","0.125","0.140"
"60"," 0.07350","0.0853","1.26e-03","  822","0.0425","0.120","0.140"
"61"," 0.07620","0.0865","1.55e-03"," 1011","0.0425","0.115","0.140"
"62"," 0.08060","0.0879","2.69e-03"," 1759","0.0425","0.110","0.140"
"63"," 0.08010","0.0865","3.31e-03"," 2161","0.0425","0.105","0.140"
"64"," 0.08120","0.0869","3.89e-03"," 2541","0.0425","0.100","0.140"
"65"," 0.07800","0.0833","4.55e-03"," 2973","0.0425","0.095","0.140"
"66"," 0.07430","0.0790","5.54e-03"," 3620","0.0425","0.090","0.140"
"68"," 0.06460","0.0873","3.52e-04","  230","0.0450","0.135","0.140"
"69"," 0.07390","0.0898","7.23e-04","  472","0.0450","0.130","0.140"
"70"," 0.07540","0.0866","1.38e-03","  901","0.0450","0.125","0.140"
"71"," 0.07530","0.0857","1.58e-03"," 1032","0.0450","0.120","0.140"
"72"," 0.07750","0.0865","1.95e-03"," 1275","0.0450","0.115","0.140"
"73"," 0.08150","0.0879","3.33e-03"," 2173","0.0450","0.110","0.140"
"74"," 0.08020","0.0860","4.07e-03"," 2660","0.0450","0.105","0.140"
"75"," 0.08110","0.0863","4.77e-03"," 3115","0.0450","0.100","0.140"
"76"," 0.07800","0.0827","5.56e-03"," 3633","0.0450","0.095","0.140"
"77"," 0.07500","0.0792","6.76e-03"," 4412","0.0450","0.090","0.140"
"79"," 0.07220","0.0925","4.10e-04","  268","0.0475","0.135","0.140"
"80"," 0.07850","0.0926","8.64e-04","  564","0.0475","0.130","0.140"
"81"," 0.07770","0.0878","1.65e-03"," 1077","0.0475","0.125","0.140"
"82"," 0.07770","0.0870","1.89e-03"," 1234","0.0475","0.120","0.140"
"83"," 0.07890","0.0871","2.35e-03"," 1537","0.0475","0.115","0.140"
"84"," 0.08220","0.0880","4.02e-03"," 2623","0.0475","0.110","0.140"
"85"," 0.08020","0.0854","4.92e-03"," 3213","0.0475","0.105","0.140"
"86"," 0.08120","0.0859","5.74e-03"," 3750","0.0475","0.100","0.140"
"87"," 0.07830","0.0826","6.67e-03"," 4357","0.0475","0.095","0.140"
"88"," 0.07530","0.0792","8.05e-03"," 5256","0.0475","0.090","0.140"
"90"," 0.06780","0.0866","5.15e-04","  336","0.0500","0.135","0.140"
"91"," 0.08030","0.0931","1.05e-03","  687","0.0500","0.130","0.140"
"92"," 0.07910","0.0882","2.00e-03"," 1303","0.0500","0.125","0.140"
"93"," 0.07920","0.0877","2.27e-03"," 1482","0.0500","0.120","0.140"
"94"," 0.07820","0.0857","2.83e-03"," 1845","0.0500","0.115","0.140"
"95"," 0.08020","0.0857","4.80e-03"," 3136","0.0500","0.110","0.140"
"96"," 0.07870","0.0835","5.86e-03"," 3825","0.0500","0.105","0.140"
"97"," 0.07920","0.0836","6.82e-03"," 4450","0.0500","0.100","0.140"
"98"," 0.07630","0.0804","7.93e-03"," 5180","0.0500","0.095","0.140"
"99"," 0.07390","0.0775","9.56e-03"," 6245","0.0500","0.090","0.140"
"101"," 0.06790","0.0854","6.20e-04","  405","0.0525","0.135","0.140"
"102"," 0.07970","0.0915","1.25e-03","  818","0.0525","0.130","0.140"
"103"," 0.07740","0.0859","2.37e-03"," 1546","0.0525","0.125","0.140"
"104"," 0.07820","0.0860","2.71e-03"," 1767","0.0525","0.120","0.140"
"105"," 0.07670","0.0837","3.35e-03"," 2185","0.0525","0.115","0.140"
"106"," 0.07910","0.0842","5.61e-03"," 3663","0.0525","0.110","0.140"
"107"," 0.07830","0.0828","6.84e-03"," 4465","0.0525","0.105","0.140"
"108"," 0.07770","0.0818","7.94e-03"," 5182","0.0525","0.100","0.140"
"109"," 0.07550","0.0793","9.25e-03"," 6042","0.0525","0.095","0.140"
"110"," 0.07330","0.0766","1.12e-02"," 7287","0.0525","0.090","0.140"
"112"," 0.07250","0.0885","7.20e-04","  470","0.0550","0.135","0.140"
"113"," 0.08070","0.0916","1.46e-03","  951","0.0550","0.130","0.140"
"114"," 0.07820","0.0860","2.76e-03"," 1800","0.0550","0.125","0.140"
"115"," 0.07860","0.0858","3.17e-03"," 2069","0.0550","0.120","0.140"
"116"," 0.07640","0.0829","3.91e-03"," 2556","0.0550","0.115","0.140"
"117"," 0.07930","0.0840","6.57e-03"," 4292","0.0550","0.110","0.140"
"118"," 0.07850","0.0827","8.01e-03"," 5232","0.0550","0.105","0.140"
"119"," 0.07770","0.0815","9.27e-03"," 6050","0.0550","0.100","0.140"
"120"," 0.07540","0.0789","1.08e-02"," 7033","0.0550","0.095","0.140"
"121"," 0.07330","0.0764","1.30e-02"," 8492","0.0550","0.090","0.140"
"123"," 0.06840","0.0838","8.35e-04","  545","0.0575","0.135","0.140"
"124"," 0.07870","0.0891","1.68e-03"," 1098","0.0575","0.130","0.140"
"125"," 0.07740","0.0847","3.21e-03"," 2097","0.0575","0.125","0.140"
"126"," 0.07770","0.0845","3.71e-03"," 2422","0.0575","0.120","0.140"
"127"," 0.07560","0.0816","4.58e-03"," 2992","0.0575","0.115","0.140"
"128"," 0.07870","0.0830","7.64e-03"," 4990","0.0575","0.110","0.140"
"129"," 0.07760","0.0814","9.33e-03"," 6094","0.0575","0.105","0.140"
"130"," 0.07700","0.0806","1.08e-02"," 7020","0.0575","0.100","0.140"
"131"," 0.07450","0.0778","1.25e-02"," 8157","0.0575","0.095","0.140"
"132"," 0.07270","0.0756","1.51e-02"," 9833","0.0575","0.090","0.140"
"134"," 0.06870","0.0830","9.66e-04","  631","0.0600","0.135","0.140"
"135"," 0.07660","0.0863","1.96e-03"," 1280","0.0600","0.130","0.140"
"136"," 0.07700","0.0839","3.73e-03"," 2434","0.0600","0.125","0.140"
"137"," 0.07730","0.0836","4.29e-03"," 2799","0.0600","0.120","0.140"
"138"," 0.07500","0.0807","5.32e-03"," 3474","0.0600","0.115","0.140"
"139"," 0.07740","0.0815","8.86e-03"," 5787","0.0600","0.110","0.140"
"140"," 0.07630","0.0800","1.08e-02"," 7048","0.0600","0.105","0.140"
"141"," 0.07600","0.0794","1.24e-02"," 8090","0.0600","0.100","0.140"
"142"," 0.07370","0.0767","1.44e-02"," 9388","0.0600","0.095","0.140"
"143"," 0.07210","0.0749","1.73e-02","11323","0.0600","0.090","0.140"
"145"," 0.06820","0.0818","1.10e-03","  716","0.0625","0.135","0.140"
"146"," 0.07340","0.0827","2.25e-03"," 1467","0.0625","0.130","0.140"
"147"," 0.07630","0.0828","4.25e-03"," 2777","0.0625","0.125","0.140"
"148"," 0.07670","0.0826","4.90e-03"," 3198","0.0625","0.120","0.140"
"149"," 0.07470","0.0800","6.11e-03"," 3992","0.0625","0.115","0.140"
"150"," 0.07720","0.0811","1.01e-02"," 6607","0.0625","0.110","0.140"
"151"," 0.07640","0.0798","1.23e-02"," 8015","0.0625","0.105","0.140"
"152"," 0.07600","0.0792","1.41e-02"," 9182","0.0625","0.100","0.140"
"153"," 0.07370","0.0766","1.63e-02","10637","0.0625","0.095","0.140"
"154"," 0.07190","0.0745","1.96e-02","12829","0.0625","0.090","0.140"
"156"," 0.06400","0.0770","1.25e-03","  817","0.0650","0.135","0.140"
"157"," 0.07210","0.0809","2.57e-03"," 1676","0.0650","0.130","0.140"
"158"," 0.07520","0.0813","4.81e-03"," 3142","0.0650","0.125","0.140"
"159"," 0.07550","0.0812","5.54e-03"," 3620","0.0650","0.120","0.140"
"160"," 0.07480","0.0798","6.92e-03"," 4519","0.0650","0.115","0.140"
"161"," 0.07640","0.0800","1.15e-02"," 7489","0.0650","0.110","0.140"
"162"," 0.07550","0.0788","1.40e-02"," 9134","0.0650","0.105","0.140"
"163"," 0.07550","0.0785","1.60e-02","10435","0.0650","0.100","0.140"
"164"," 0.07330","0.0761","1.85e-02","12063","0.0650","0.095","0.140"
"165"," 0.07180","0.0742","2.23e-02","14560","0.0650","0.090","0.140"
"167"," 0.06190","0.0741","1.43e-03","  934","0.0675","0.135","0.140"
"168"," 0.06930","0.0776","2.92e-03"," 1909","0.0675","0.130","0.140"
"169"," 0.07300","0.0788","5.50e-03"," 3592","0.0675","0.125","0.140"
"170"," 0.07340","0.0787","6.33e-03"," 4136","0.0675","0.120","0.140"
"171"," 0.07300","0.0777","7.90e-03"," 5156","0.0675","0.115","0.140"
"172"," 0.07470","0.0782","1.30e-02"," 8511","0.0675","0.110","0.140"
"173"," 0.07410","0.0771","1.59e-02","10356","0.0675","0.105","0.140"
"174"," 0.07440","0.0772","1.81e-02","11797","0.0675","0.100","0.140"
"175"," 0.07220","0.0748","2.09e-02","13620","0.0675","0.095","0.140"
"176"," 0.07070","0.0730","2.51e-02","16374","0.0675","0.090","0.140"
"178"," 0.05590","0.0677","1.62e-03"," 1060","0.0700","0.135","0.140"
"179"," 0.06690","0.0748","3.29e-03"," 2150","0.0700","0.130","0.140"
"180"," 0.07250","0.0779","6.24e-03"," 4076","0.0700","0.125","0.140"
