"","ROI95lo","ROIavg","fractaken","numtaken","badProb","interest","intceil"
"25","-0.071500"," 0.10800","1.88e-06","     1","0.0050","0.105","0.130"
"26","-0.071500"," 0.10800","1.88e-06","     1","0.0050","0.100","0.130"
"27","-0.066600"," 0.10300","3.77e-06","     2","0.0050","0.095","0.130"
"28","-0.066600"," 0.10300","3.77e-06","     2","0.0050","0.090","0.130"
"29","-0.066600"," 0.10300","3.77e-06","     2","0.0050","0.085","0.130"
"30","-0.066600"," 0.10300","3.77e-06","     2","0.0050","0.080","0.130"
"31","-0.066600"," 0.10300","3.77e-06","     2","0.0050","0.075","0.130"
"32","-0.066600"," 0.10300","3.77e-06","     2","0.0050","0.070","0.130"
"33","-0.016600"," 0.09180","5.65e-06","     3","0.0050","0.065","0.130"
"34"," 0.012200"," 0.07960","9.42e-06","     5","0.0050","0.060","0.130"
"39","-0.081500"," 0.12300","1.88e-06","     1","0.0075","0.120","0.130"
"40","-0.081500"," 0.12300","1.88e-06","     1","0.0075","0.115","0.130"
"41","-0.081500"," 0.12300","1.88e-06","     1","0.0075","0.110","0.130"
"42","-0.074800"," 0.11500","3.77e-06","     2","0.0075","0.105","0.130"
"43","-0.074800"," 0.11500","3.77e-06","     2","0.0075","0.100","0.130"
"44","-0.018400"," 0.11000","5.65e-06","     3","0.0075","0.095","0.130"
"45"," 0.004660"," 0.10500","7.53e-06","     4","0.0075","0.090","0.130"
"46"," 0.004660"," 0.10500","7.53e-06","     4","0.0075","0.085","0.130"
"47"," 0.004660"," 0.10500","7.53e-06","     4","0.0075","0.080","0.130"
"48"," 0.034000"," 0.09210","1.51e-05","     8","0.0075","0.075","0.130"
"49"," 0.039000"," 0.08810","1.88e-05","    10","0.0075","0.070","0.130"
"50"," 0.047300"," 0.07970","3.39e-05","    18","0.0075","0.065","0.130"
"51"," 0.050300"," 0.07300","5.65e-05","    30","0.0075","0.060","0.130"
"56","-0.081500"," 0.12300","1.88e-06","     1","0.0100","0.120","0.130"
"57","-0.019700"," 0.12100","5.65e-06","     3","0.0100","0.115","0.130"
"58"," 0.005970"," 0.11900","7.53e-06","     4","0.0100","0.110","0.130"
"59"," 0.020700"," 0.11700","9.42e-06","     5","0.0100","0.105","0.130"
"60"," 0.020700"," 0.11700","9.42e-06","     5","0.0100","0.100","0.130"
"61"," 0.029900"," 0.11400","1.13e-05","     6","0.0100","0.095","0.130"
"62"," 0.036000"," 0.11100","1.32e-05","     7","0.0100","0.090","0.130"
"63","-0.132000"," 0.01770","1.70e-05","     9","0.0100","0.085","0.130"
"64","-0.092300"," 0.02980","2.07e-05","    11","0.0100","0.080","0.130"
"65","-0.001900"," 0.05610","4.52e-05","    24","0.0100","0.075","0.130"
"66"," 0.012300"," 0.05950","5.65e-05","    30","0.0100","0.070","0.130"
"67"," 0.034600"," 0.06360","9.79e-05","    52","0.0100","0.065","0.130"
"68"," 0.038900"," 0.05840","1.68e-04","    89","0.0100","0.060","0.130"
"73","-0.081500"," 0.12300","1.88e-06","     1","0.0125","0.120","0.130"
"74"," 0.021000"," 0.11900","9.42e-06","     5","0.0125","0.115","0.130"
"75"," 0.031200"," 0.11800","1.13e-05","     6","0.0125","0.110","0.130"
"76"," 0.038200"," 0.11700","1.32e-05","     7","0.0125","0.105","0.130"
"77"," 0.047600"," 0.11400","1.70e-05","     9","0.0125","0.100","0.130"
"78"," 0.055200"," 0.11000","2.26e-05","    12","0.0125","0.095","0.130"
"79"," 0.060500"," 0.10600","3.01e-05","    16","0.0125","0.090","0.130"
"80"," 0.006490"," 0.06640","4.52e-05","    24","0.0125","0.085","0.130"
"81"," 0.027500"," 0.07140","6.40e-05","    34","0.0125","0.080","0.130"
"82"," 0.045900"," 0.07420","1.07e-04","    57","0.0125","0.075","0.130"
"83"," 0.051500"," 0.07400","1.41e-04","    75","0.0125","0.070","0.130"
"84"," 0.046700"," 0.06470","2.45e-04","   130","0.0125","0.065","0.130"
"85"," 0.049800"," 0.06190","4.03e-04","   214","0.0125","0.060","0.130"
"89","-0.082500"," 0.12800","3.77e-06","     2","0.0150","0.125","0.130"
"90"," 0.006280"," 0.12500","7.53e-06","     4","0.0150","0.120","0.130"
"91"," 0.050500"," 0.12100","1.70e-05","     9","0.0150","0.115","0.130"
"92"," 0.017500"," 0.08590","2.45e-05","    13","0.0150","0.110","0.130"
"93"," 0.043800"," 0.09400","3.77e-05","    20","0.0150","0.105","0.130"
"94"," 0.053300"," 0.09620","4.71e-05","    25","0.0150","0.100","0.130"
"95"," 0.060700"," 0.09670","6.03e-05","    32","0.0150","0.095","0.130"
"96"," 0.067500"," 0.09540","8.66e-05","    46","0.0150","0.090","0.130"
"97"," 0.051100"," 0.08050","1.17e-04","    62","0.0150","0.085","0.130"
"98"," 0.057400"," 0.08110","1.53e-04","    81","0.0150","0.080","0.130"
"99"," 0.058400"," 0.07510","2.47e-04","   131","0.0150","0.075","0.130"
"100"," 0.061200"," 0.07470","3.24e-04","   172","0.0150","0.070","0.130"
