"","ROI95lo","ROIavg","fractaken","numtaken","badProb","interest","intceil"
"2"," 0.10000"," 0.13800","6.97e-05","   37","0.0300","0.135","0.140"
"3"," 0.03960"," 0.08330","1.41e-04","   75","0.0300","0.130","0.140"
"4"," 0.05880"," 0.08920","2.64e-04","  140","0.0300","0.125","0.140"
"5"," 0.05480"," 0.08320","3.05e-04","  162","0.0300","0.120","0.140"
"6"," 0.07230"," 0.09340","4.35e-04","  231","0.0300","0.115","0.140"
"7"," 0.07380"," 0.09120","5.76e-04","  306","0.0300","0.110","0.140"
"8"," 0.07770"," 0.09190","7.95e-04","  422","0.0300","0.105","0.140"
"9"," 0.07990"," 0.09300","8.74e-04","  464","0.0300","0.100","0.140"
"10"," 0.07330"," 0.08510","1.11e-03","  588","0.0300","0.095","0.140"
"11"," 0.06760"," 0.07770","1.48e-03","  787","0.0300","0.090","0.140"
"13"," 0.08330"," 0.12200","9.79e-05","   52","0.0325","0.135","0.140"
"14"," 0.05180"," 0.08820","1.88e-04","  100","0.0325","0.130","0.140"
"15"," 0.06640"," 0.09180","3.52e-04","  187","0.0325","0.125","0.140"
"16"," 0.06450"," 0.08720","4.29e-04","  228","0.0325","0.120","0.140"
"17"," 0.07730"," 0.09490","5.86e-04","  311","0.0325","0.115","0.140"
"18"," 0.07950"," 0.09400","7.68e-04","  408","0.0325","0.110","0.140"
"19"," 0.07820"," 0.09050","1.06e-03","  564","0.0325","0.105","0.140"
"20"," 0.08060"," 0.09190","1.18e-03","  626","0.0325","0.100","0.140"
"21"," 0.07360"," 0.08380","1.47e-03","  782","0.0325","0.095","0.140"
"22"," 0.07010"," 0.07870","1.98e-03"," 1049","0.0325","0.090","0.140"
"24"," 0.07660"," 0.11300","1.28e-04","   68","0.0350","0.135","0.140"
"25"," 0.05840"," 0.09010","2.37e-04","  126","0.0350","0.130","0.140"
"26"," 0.07100"," 0.09260","4.52e-04","  240","0.0350","0.125","0.140"
"27"," 0.06830"," 0.08790","5.48e-04","  291","0.0350","0.120","0.140"
"28"," 0.08080"," 0.09580","7.61e-04","  404","0.0350","0.115","0.140"
"29"," 0.08370"," 0.09600","1.00e-03","  531","0.0350","0.110","0.140"
"30"," 0.07880"," 0.08960","1.38e-03","  731","0.0350","0.105","0.140"
"31"," 0.08120"," 0.09100","1.53e-03","  810","0.0350","0.100","0.140"
"32"," 0.07520"," 0.08400","1.92e-03"," 1019","0.0350","0.095","0.140"
"33"," 0.07160"," 0.07910","2.56e-03"," 1357","0.0350","0.090","0.140"
"35"," 0.07950"," 0.11100","1.73e-04","   92","0.0375","0.135","0.140"
"36"," 0.06140"," 0.08830","3.20e-04","  170","0.0375","0.130","0.140"
"37"," 0.07370"," 0.09220","5.91e-04","  314","0.0375","0.125","0.140"
"38"," 0.07260"," 0.08900","7.35e-04","  390","0.0375","0.120","0.140"
"39"," 0.08070"," 0.09380","9.93e-04","  527","0.0375","0.115","0.140"
"40"," 0.08390"," 0.09480","1.29e-03","  683","0.0375","0.110","0.140"
"41"," 0.08080"," 0.09010","1.76e-03","  935","0.0375","0.105","0.140"
"42"," 0.08210"," 0.09080","1.94e-03"," 1031","0.0375","0.100","0.140"
"43"," 0.07660"," 0.08430","2.45e-03"," 1300","0.0375","0.095","0.140"
"44"," 0.07330"," 0.07980","3.24e-03"," 1721","0.0375","0.090","0.140"
"46"," 0.07990"," 0.10900","2.11e-04","  112","0.0400","0.135","0.140"
"47"," 0.06140"," 0.08570","3.94e-04","  209","0.0400","0.130","0.140"
"48"," 0.07750"," 0.09380","7.35e-04","  390","0.0400","0.125","0.140"
"49"," 0.07760"," 0.09200","9.10e-04","  483","0.0400","0.120","0.140"
"50"," 0.08390"," 0.09550","1.24e-03","  658","0.0400","0.115","0.140"
"51"," 0.08500"," 0.09470","1.61e-03","  855","0.0400","0.110","0.140"
"52"," 0.08070"," 0.08910","2.20e-03"," 1170","0.0400","0.105","0.140"
"53"," 0.08210"," 0.08980","2.44e-03"," 1295","0.0400","0.100","0.140"
"54"," 0.07790"," 0.08470","3.08e-03"," 1638","0.0400","0.095","0.140"
"55"," 0.07470"," 0.08040","4.06e-03"," 2156","0.0400","0.090","0.140"
"57"," 0.07480"," 0.10300","2.60e-04","  138","0.0425","0.135","0.140"
"58"," 0.06480"," 0.08670","4.90e-04","  260","0.0425","0.130","0.140"
"59"," 0.08180"," 0.09600","9.28e-04","  493","0.0425","0.125","0.140"
"60"," 0.08160"," 0.09410","1.16e-03","  614","0.0425","0.120","0.140"
"61"," 0.08510"," 0.09530","1.58e-03","  838","0.0425","0.115","0.140"
"62"," 0.08530"," 0.09410","2.02e-03"," 1074","0.0425","0.110","0.140"
"63"," 0.08100"," 0.08850","2.77e-03"," 1469","0.0425","0.105","0.140"
"64"," 0.08130"," 0.08830","3.07e-03"," 1628","0.0425","0.100","0.140"
"65"," 0.07710"," 0.08330","3.87e-03"," 2057","0.0425","0.095","0.140"
"66"," 0.07460"," 0.07980","5.09e-03"," 2701","0.0425","0.090","0.140"
"68"," 0.08210"," 0.10600","3.20e-04","  170","0.0450","0.135","0.140"
"69"," 0.07290"," 0.09190","5.99e-04","  318","0.0450","0.130","0.140"
"70"," 0.07920"," 0.09220","1.13e-03","  601","0.0450","0.125","0.140"
"71"," 0.07960"," 0.09090","1.43e-03","  757","0.0450","0.120","0.140"
"72"," 0.08390"," 0.09310","1.94e-03"," 1032","0.0450","0.115","0.140"
"73"," 0.08440"," 0.09240","2.47e-03"," 1311","0.0450","0.110","0.140"
"74"," 0.08130"," 0.08810","3.36e-03"," 1786","0.0450","0.105","0.140"
"75"," 0.08130"," 0.08770","3.73e-03"," 1981","0.0450","0.100","0.140"
"76"," 0.07670"," 0.08230","4.69e-03"," 2489","0.0450","0.095","0.140"
