"","ROI95lo","ROIavg","fractaken","numtaken","badProb","interest","intceil"
"3529","0.0698","0.0721","0.04110","21832","0.0875","0.100","0.185"
"3892","0.0698","0.0721","0.04140","21991","0.0875","0.100","0.190"
"3165","0.0700","0.0723","0.03800","20199","0.0875","0.105","0.180"
"3528","0.0701","0.0724","0.03830","20342","0.0875","0.105","0.185"
"3891","0.0701","0.0724","0.03860","20501","0.0875","0.105","0.190"
"3145","0.0703","0.0725","0.04010","21267","0.0825","0.095","0.180"
"3508","0.0703","0.0725","0.04030","21382","0.0825","0.095","0.185"
"3871","0.0702","0.0725","0.04050","21506","0.0825","0.095","0.190"
"3155","0.0707","0.0731","0.03740","19840","0.0850","0.100","0.180"
"3518","0.0708","0.0731","0.03760","19965","0.0850","0.100","0.185"
"3881","0.0707","0.0731","0.03790","20102","0.0850","0.100","0.190"
"3134","0.0711","0.0734","0.03640","19345","0.0800","0.095","0.180"
"3154","0.0710","0.0734","0.03480","18463","0.0850","0.105","0.180"
"3497","0.0711","0.0734","0.03660","19450","0.0800","0.095","0.185"
"3860","0.0711","0.0734","0.03680","19555","0.0800","0.095","0.190"
"3880","0.0710","0.0734","0.03530","18725","0.0850","0.105","0.190"
"3517","0.0710","0.0735","0.03500","18588","0.0850","0.105","0.185"
"3870","0.0723","0.0747","0.03430","18236","0.0825","0.100","0.190"
"3144","0.0724","0.0748","0.03390","17997","0.0825","0.100","0.180"
"3507","0.0724","0.0748","0.03410","18112","0.0825","0.100","0.185"
"3869","0.0725","0.0751","0.03200","16986","0.0825","0.105","0.190"
"3143","0.0726","0.0752","0.03150","16747","0.0825","0.105","0.180"
"3506","0.0726","0.0752","0.03180","16862","0.0825","0.105","0.185"
"3133","0.0736","0.0761","0.03080","16353","0.0800","0.100","0.180"
"3496","0.0735","0.0761","0.03100","16458","0.0800","0.100","0.185"
"3859","0.0735","0.0761","0.03120","16563","0.0800","0.100","0.190"
"3122","0.0738","0.0764","0.02780","14777","0.0775","0.100","0.180"
"3132","0.0738","0.0765","0.02860","15204","0.0800","0.105","0.180"
"3485","0.0738","0.0765","0.02800","14869","0.0775","0.100","0.185"
"3495","0.0738","0.0765","0.02880","15309","0.0800","0.105","0.185"
"3858","0.0738","0.0765","0.02900","15414","0.0800","0.105","0.190"
"3505","0.0737","0.0766","0.02530","13452","0.0825","0.110","0.185"
