"","ROI95lo","ROIavg","fractaken","numtaken","badProb","interest","intceil"
"8764","0.0699","0.0721","0.04450","23604","0.0900","0.100","0.180"
"8763","0.0701","0.0724","0.04150","22031","0.0900","0.105","0.180"
"8714","0.0704","0.0726","0.04000","21241","0.0825","0.095","0.180"
"8681","0.0707","0.0727","0.04070","21626","0.0775","0.090","0.180"
"8747","0.0704","0.0727","0.04080","21641","0.0875","0.100","0.180"
"8746","0.0706","0.0730","0.03800","20173","0.0875","0.105","0.180"
"8664","0.0711","0.0732","0.03680","19533","0.0750","0.090","0.180"
"8697","0.0711","0.0734","0.03630","19253","0.0800","0.095","0.180"
"8730","0.0712","0.0736","0.03710","19709","0.0850","0.100","0.180"
"8729","0.0713","0.0738","0.03460","18357","0.0850","0.105","0.180"
"7897","0.0718","0.0743","0.03340","17718","0.0825","0.100","0.175"
"8713","0.0725","0.0749","0.03380","17972","0.0825","0.100","0.180"
"7880","0.0725","0.0750","0.03020","16038","0.0800","0.100","0.175"
"8712","0.0725","0.0750","0.03150","16717","0.0825","0.105","0.180"
"8680","0.0727","0.0751","0.03280","17391","0.0775","0.095","0.180"
"8663","0.0732","0.0757","0.02960","15693","0.0750","0.095","0.180"
"8696","0.0731","0.0757","0.03060","16273","0.0800","0.100","0.180"
"8695","0.0731","0.0758","0.02850","15131","0.0800","0.105","0.180"
"7863","0.0740","0.0767","0.02720","14458","0.0775","0.100","0.175"
"8679","0.0747","0.0773","0.02760","14663","0.0775","0.100","0.180"
"8678","0.0746","0.0774","0.02570","13620","0.0775","0.105","0.180"
"7846","0.0748","0.0776","0.02450","13001","0.0750","0.100","0.175"
"8662","0.0754","0.0782","0.02480","13186","0.0750","0.100","0.180"
"8661","0.0754","0.0783","0.02300","12235","0.0750","0.105","0.180"
"7013","0.0755","0.0784","0.02180","11551","0.0725","0.100","0.170"
"7829","0.0759","0.0788","0.02190","11628","0.0725","0.100","0.175"
"8644","0.0763","0.0794","0.02060","10939","0.0725","0.105","0.180"
"8645","0.0765","0.0795","0.02220","11800","0.0725","0.100","0.180"
"7812","0.0769","0.0800","0.01950","10335","0.0700","0.100","0.175"
"7811","0.0768","0.0801","0.01800"," 9562","0.0700","0.105","0.175"
"7795","0.0773","0.0805","0.01720"," 9136","0.0675","0.100","0.175"
"8628","0.0775","0.0805","0.01980","10492","0.0700","0.100","0.180"
"8627","0.0774","0.0807","0.01830"," 9719","0.0700","0.105","0.180"
"8643","0.0774","0.0810","0.01640"," 8688","0.0725","0.110","0.180"
"8611","0.0779","0.0811","0.01750"," 9275","0.0675","0.100","0.180"
"8594","0.0779","0.0814","0.01530"," 8132","0.0650","0.100","0.180"
"8610","0.0779","0.0814","0.01620"," 8582","0.0675","0.105","0.180"
"7810","0.0787","0.0824","0.01420"," 7552","0.0700","0.110","0.175"
"8626","0.0794","0.0832","0.01450"," 7709","0.0700","0.110","0.180"
"7793","0.0797","0.0836","0.01250"," 6631","0.0675","0.110","0.175"
"7776","0.0798","0.0840","0.01090"," 5793","0.0650","0.110","0.175"
"8625","0.0801","0.0843","0.01220"," 6473","0.0700","0.115","0.180"
"8609","0.0805","0.0844","0.01280"," 6770","0.0675","0.110","0.180"
"7792","0.0802","0.0847","0.01040"," 5537","0.0675","0.115","0.175"
"8592","0.0805","0.0848","0.01110"," 5911","0.0650","0.110","0.180"
"8608","0.0811","0.0856","0.01070"," 5676","0.0675","0.115","0.180"
"8591","0.0813","0.0860","0.00933"," 4955","0.0650","0.115","0.180"
"8607","0.0813","0.0864","0.00846"," 4493","0.0675","0.120","0.180"
"8574","0.0814","0.0865","0.00812"," 4310","0.0625","0.115","0.180"
"8590","0.0814","0.0869","0.00735"," 3903","0.0650","0.120","0.180"
"8606","0.0815","0.0872","0.00720"," 3822","0.0675","0.125","0.180"
