"","ROI95lo","ROIavg","fractaken","numtaken","badProb","interest","intceil"
"2"," 0.04700","0.0988","8.10e-05","   43","0.0300","0.135","0.140"
"3"," 0.03780","0.0795","1.54e-04","   82","0.0300","0.130","0.140"
"4"," 0.05040","0.0812","2.73e-04","  145","0.0300","0.125","0.140"
"5"," 0.05570","0.0827","3.31e-04","  176","0.0300","0.120","0.140"
"6"," 0.07310","0.0931","4.75e-04","  252","0.0300","0.115","0.140"
"7"," 0.07500","0.0917","6.18e-04","  328","0.0300","0.110","0.140"
"8"," 0.06840","0.0835","8.29e-04","  440","0.0300","0.105","0.140"
"9"," 0.07130","0.0850","9.21e-04","  489","0.0300","0.100","0.140"
"10"," 0.06720","0.0794","1.18e-03","  624","0.0300","0.095","0.140"
"11"," 0.06590","0.0761","1.53e-03","  813","0.0300","0.090","0.140"
"13"," 0.02870","0.0792","1.09e-04","   58","0.0325","0.135","0.140"
"14"," 0.02590","0.0660","1.98e-04","  105","0.0325","0.130","0.140"
"15"," 0.05000","0.0774","3.56e-04","  189","0.0325","0.125","0.140"
"16"," 0.05330","0.0776","4.26e-04","  226","0.0325","0.120","0.140"
"17"," 0.06820","0.0867","6.06e-04","  322","0.0325","0.115","0.140"
"18"," 0.07280","0.0878","8.00e-04","  425","0.0325","0.110","0.140"
"19"," 0.06890","0.0821","1.08e-03","  571","0.0325","0.105","0.140"
"20"," 0.07110","0.0832","1.20e-03","  637","0.0325","0.100","0.140"
"21"," 0.06930","0.0798","1.52e-03","  806","0.0325","0.095","0.140"
"22"," 0.06700","0.0759","1.99e-03"," 1057","0.0325","0.090","0.140"
"24"," 0.02090","0.0685","1.30e-04","   69","0.0350","0.135","0.140"
"25"," 0.03460","0.0693","2.47e-04","  131","0.0350","0.130","0.140"
"26"," 0.05430","0.0780","4.67e-04","  248","0.0350","0.125","0.140"
"27"," 0.05580","0.0770","5.61e-04","  298","0.0350","0.120","0.140"
"28"," 0.06630","0.0830","7.80e-04","  414","0.0350","0.115","0.140"
"29"," 0.07230","0.0859","1.02e-03","  539","0.0350","0.110","0.140"
"30"," 0.06830","0.0800","1.38e-03","  731","0.0350","0.105","0.140"
"31"," 0.07090","0.0816","1.53e-03","  814","0.0350","0.100","0.140"
"32"," 0.06820","0.0775","1.97e-03"," 1048","0.0350","0.095","0.140"
"33"," 0.06560","0.0735","2.59e-03"," 1375","0.0350","0.090","0.140"
"35"," 0.03310","0.0745","1.56e-04","   83","0.0375","0.135","0.140"
"36"," 0.03890","0.0705","2.96e-04","  157","0.0375","0.130","0.140"
"37"," 0.06180","0.0822","5.82e-04","  309","0.0375","0.125","0.140"
"38"," 0.06270","0.0810","7.01e-04","  372","0.0375","0.120","0.140"
"39"," 0.07300","0.0872","9.81e-04","  521","0.0375","0.115","0.140"
"40"," 0.07660","0.0885","1.28e-03","  677","0.0375","0.110","0.140"
"41"," 0.07240","0.0825","1.77e-03","  942","0.0375","0.105","0.140"
"42"," 0.07480","0.0840","1.98e-03"," 1051","0.0375","0.100","0.140"
"43"," 0.07010","0.0783","2.53e-03"," 1342","0.0375","0.095","0.140"
"44"," 0.06800","0.0749","3.30e-03"," 1753","0.0375","0.090","0.140"
"46"," 0.05210","0.0868","1.94e-04","  103","0.0400","0.135","0.140"
"47"," 0.04340","0.0713","3.84e-04","  204","0.0400","0.130","0.140"
"48"," 0.06680","0.0845","7.50e-04","  398","0.0400","0.125","0.140"
"49"," 0.07040","0.0858","9.27e-04","  492","0.0400","0.120","0.140"
"50"," 0.07670","0.0890","1.27e-03","  674","0.0400","0.115","0.140"
"51"," 0.07900","0.0894","1.62e-03","  859","0.0400","0.110","0.140"
"52"," 0.07500","0.0839","2.21e-03"," 1175","0.0400","0.105","0.140"
"53"," 0.07580","0.0841","2.45e-03"," 1300","0.0400","0.100","0.140"
"54"," 0.07180","0.0791","3.13e-03"," 1663","0.0400","0.095","0.140"
"55"," 0.06950","0.0756","4.11e-03"," 2183","0.0400","0.090","0.140"
"57"," 0.06210","0.0930","2.24e-04","  119","0.0425","0.135","0.140"
"58"," 0.04840","0.0731","4.71e-04","  250","0.0425","0.130","0.140"
"59"," 0.07160","0.0870","9.36e-04","  497","0.0425","0.125","0.140"
"60"," 0.07330","0.0868","1.17e-03","  619","0.0425","0.120","0.140"
"61"," 0.07690","0.0879","1.60e-03","  848","0.0425","0.115","0.140"
"62"," 0.07920","0.0885","2.04e-03"," 1083","0.0425","0.110","0.140"
"63"," 0.07430","0.0823","2.77e-03"," 1473","0.0425","0.105","0.140"
"64"," 0.07550","0.0830","3.06e-03"," 1624","0.0425","0.100","0.140"
"65"," 0.07200","0.0786","3.89e-03"," 2064","0.0425","0.095","0.140"
"66"," 0.07010","0.0755","5.12e-03"," 2717","0.0425","0.090","0.140"
"68"," 0.07240","0.0991","2.71e-04","  144","0.0450","0.135","0.140"
"69"," 0.06010","0.0817","5.54e-04","  294","0.0450","0.130","0.140"
"70"," 0.07310","0.0869","1.12e-03","  596","0.0450","0.125","0.140"
"71"," 0.07580","0.0877","1.43e-03","  757","0.0450","0.120","0.140"
"72"," 0.07960","0.0893","1.95e-03"," 1033","0.0450","0.115","0.140"
"73"," 0.07740","0.0859","2.50e-03"," 1325","0.0450","0.110","0.140"
"74"," 0.07280","0.0802","3.39e-03"," 1799","0.0450","0.105","0.140"
"75"," 0.07410","0.0809","3.76e-03"," 1994","0.0450","0.100","0.140"
"76"," 0.07000","0.0761","4.73e-03"," 2512","0.0450","0.095","0.140"
"77"," 0.06840","0.0734","6.26e-03"," 3324","0.0450","0.090","0.140"
"79"," 0.08040","0.1030","3.47e-04","  184","0.0475","0.135","0.140"
"80"," 0.06450","0.0834","6.89e-04","  366","0.0475","0.130","0.140"
"81"," 0.07660","0.0889","1.35e-03","  716","0.0475","0.125","0.140"
"82"," 0.07850","0.0890","1.71e-03","  910","0.0475","0.120","0.140"
"83"," 0.08220","0.0909","2.33e-03"," 1239","0.0475","0.115","0.140"
"84"," 0.07950","0.0872","2.99e-03"," 1585","0.0475","0.110","0.140"
