"","ROI95lo","ROIavg","fractaken","numtaken","badProb","interest","intceil"
"3176","0.0698","0.0721","0.04170","22158","0.0900","0.105","0.180"
"3539","0.0699","0.0722","0.04210","22329","0.0900","0.105","0.185"
"3892","0.0705","0.0727","0.04150","22036","0.0875","0.100","0.190"
"3134","0.0706","0.0729","0.03620","19240","0.0800","0.095","0.180"
"3166","0.0706","0.0729","0.04090","21709","0.0875","0.100","0.180"
"3497","0.0706","0.0729","0.03640","19345","0.0800","0.095","0.185"
"3529","0.0706","0.0729","0.04120","21860","0.0875","0.100","0.185"
"3881","0.0705","0.0729","0.03780","20078","0.0850","0.100","0.190"
"3155","0.0707","0.0730","0.03730","19788","0.0850","0.100","0.180"
"3518","0.0707","0.0731","0.03750","19925","0.0850","0.100","0.185"
"3891","0.0707","0.0731","0.03870","20567","0.0875","0.105","0.190"
"3165","0.0709","0.0732","0.03810","20240","0.0875","0.105","0.180"
"3880","0.0708","0.0732","0.03530","18721","0.0850","0.105","0.190"
"3528","0.0709","0.0733","0.03840","20391","0.0875","0.105","0.185"
"3154","0.0709","0.0734","0.03470","18431","0.0850","0.105","0.180"
"3517","0.0710","0.0734","0.03500","18568","0.0850","0.105","0.185"
"3123","0.0712","0.0736","0.03280","17404","0.0775","0.095","0.180"
"3486","0.0712","0.0736","0.03300","17498","0.0775","0.095","0.185"
"3870","0.0713","0.0737","0.03430","18187","0.0825","0.100","0.190"
"3144","0.0715","0.0739","0.03380","17927","0.0825","0.100","0.180"
"3507","0.0715","0.0740","0.03400","18046","0.0825","0.100","0.185"
"3869","0.0716","0.0742","0.03190","16934","0.0825","0.105","0.190"
"3143","0.0718","0.0744","0.03140","16674","0.0825","0.105","0.180"
"3506","0.0719","0.0744","0.03160","16793","0.0825","0.105","0.185"
"3859","0.0722","0.0748","0.03100","16450","0.0800","0.100","0.190"
"3133","0.0724","0.0750","0.03050","16218","0.0800","0.100","0.180"
"3496","0.0725","0.0750","0.03070","16323","0.0800","0.100","0.185"
"3858","0.0724","0.0751","0.02890","15321","0.0800","0.105","0.190"
"3132","0.0726","0.0753","0.02840","15089","0.0800","0.105","0.180"
"3495","0.0727","0.0754","0.02860","15194","0.0800","0.105","0.185"
"3848","0.0729","0.0756","0.02800","14855","0.0775","0.100","0.190"
"3485","0.0732","0.0758","0.02780","14751","0.0775","0.100","0.185"
"3122","0.0732","0.0759","0.02760","14657","0.0775","0.100","0.180"
"3847","0.0731","0.0759","0.02600","13809","0.0775","0.105","0.190"
"3121","0.0734","0.0762","0.02560","13611","0.0775","0.105","0.180"
"3484","0.0733","0.0762","0.02580","13705","0.0775","0.105","0.185"
"3837","0.0733","0.0762","0.02510","13337","0.0750","0.100","0.190"
"3111","0.0736","0.0765","0.02480","13164","0.0750","0.100","0.180"
"3474","0.0737","0.0765","0.02500","13249","0.0750","0.100","0.185"
"3836","0.0736","0.0765","0.02330","12395","0.0750","0.105","0.190"
"3826","0.0738","0.0767","0.02250","11966","0.0725","0.100","0.190"
"3110","0.0739","0.0768","0.02300","12222","0.0750","0.105","0.180"
"3100","0.0739","0.0769","0.02230","11817","0.0725","0.100","0.180"
"3473","0.0739","0.0769","0.02320","12307","0.0750","0.105","0.185"
"3463","0.0740","0.0770","0.02240","11894","0.0725","0.100","0.185"
"3825","0.0739","0.0770","0.02090","11117","0.0725","0.105","0.190"
"3099","0.0741","0.0772","0.02070","10968","0.0725","0.105","0.180"
"3846","0.0739","0.0772","0.02070","10970","0.0775","0.110","0.190"
"3462","0.0742","0.0773","0.02080","11045","0.0725","0.105","0.185"
"3120","0.0743","0.0775","0.02030","10772","0.0775","0.110","0.180"
"3483","0.0742","0.0775","0.02050","10866","0.0775","0.110","0.185"
"3089","0.0751","0.0782","0.01980","10529","0.0700","0.100","0.180"
"3452","0.0752","0.0783","0.02000","10604","0.0700","0.100","0.185"
"3815","0.0752","0.0783","0.02010","10666","0.0700","0.100","0.190"
"3835","0.0748","0.0783","0.01850"," 9836","0.0750","0.110","0.190"
"3088","0.0752","0.0785","0.01840"," 9775","0.0700","0.105","0.180"
"3451","0.0753","0.0786","0.01860"," 9850","0.0700","0.105","0.185"
