"","X","ROI95lo","ROIavg","ROI95hi","fractaken","numtaken","badProb","interest"
"361",418,0.0676,0.072,0.0764,0.00832,3205,0.042,0.08
"380",437,0.0672,0.0714,0.0756,0.00927,3568,0.044,0.08
"398",455,0.0677,0.0728,0.0778,0.00754,2904,0.046,0.085
"399",456,0.067,0.071,0.075,0.0104,3995,0.046,0.08
"416",473,0.0676,0.0726,0.0776,0.00811,3123,0.048,0.09
"417",474,0.0678,0.0726,0.0775,0.0084,3234,0.048,0.085
"418",475,0.0667,0.0705,0.0744,0.0115,4439,0.048,0.08
"435",492,0.0666,0.0714,0.0761,0.00906,3489,0.05,0.09
"436",493,0.0668,0.0715,0.0761,0.00936,3606,0.05,0.085
"454",511,0.0688,0.0733,0.0777,0.00998,3844,0.052,0.09
"455",512,0.0689,0.0732,0.0776,0.0103,3973,0.052,0.085
"456",513,0.0676,0.071,0.0745,0.014,5397,0.052,0.08
"472",529,0.0703,0.0754,0.0806,0.00827,3183,0.054,0.095
"473",530,0.0692,0.0734,0.0776,0.011,4245,0.054,0.09
"474",531,0.0693,0.0734,0.0775,0.0114,4383,0.054,0.085
"475",532,0.0679,0.0712,0.0745,0.0153,5910,0.054,0.08
"491",548,0.0709,0.0757,0.0806,0.00919,3540,0.056,0.095
"492",549,0.0697,0.0737,0.0778,0.0122,4693,0.056,0.09
"493",550,0.0697,0.0736,0.0775,0.0126,4847,0.056,0.085
"494",551,0.0685,0.0716,0.0748,0.0169,6522,0.056,0.08
"509",566,0.0748,0.0801,0.0855,0.00787,3029,0.058,0.1
"510",567,0.0716,0.0762,0.0808,0.0101,3904,0.058,0.095
"511",568,0.0704,0.0742,0.078,0.0134,5163,0.058,0.09
"512",569,0.0702,0.0739,0.0776,0.0139,5336,0.058,0.085
"513",570,0.0687,0.0717,0.0747,0.0185,7124,0.058,0.08
"527",584,0.0736,0.0789,0.0843,0.00811,3124,0.06,0.105
"528",585,0.0741,0.0792,0.0843,0.00865,3332,0.06,0.1
"529",586,0.071,0.0754,0.0798,0.0111,4268,0.06,0.095
"530",587,0.0695,0.0732,0.0769,0.0147,5645,0.06,0.09
"531",588,0.0694,0.073,0.0766,0.0151,5826,0.06,0.085
"532",589,0.0681,0.071,0.074,0.0201,7754,0.06,0.08
"546",603,0.0725,0.0777,0.0829,0.0089,3428,0.062,0.105
"547",604,0.073,0.078,0.0829,0.00949,3656,0.062,0.1
"548",605,0.0704,0.0746,0.0789,0.0121,4672,0.062,0.095
"549",606,0.0686,0.0721,0.0757,0.0159,6130,0.062,0.09
"550",607,0.0684,0.0718,0.0753,0.0164,6324,0.062,0.085
"565",622,0.0725,0.0774,0.0824,0.00973,3746,0.064,0.105
"566",623,0.073,0.0778,0.0825,0.0104,3995,0.064,0.1
"567",624,0.0703,0.0744,0.0785,0.0132,5088,0.064,0.095
"568",625,0.0683,0.0718,0.0752,0.0173,6655,0.064,0.09
"569",626,0.0681,0.0715,0.0749,0.0178,6859,0.064,0.085
"583",640,0.0713,0.077,0.0827,0.00813,3132,0.066,0.11
"584",641,0.0728,0.0776,0.0823,0.0106,4094,0.066,0.105
"585",642,0.0733,0.0778,0.0823,0.0113,4369,0.066,0.1
"586",643,0.0708,0.0747,0.0786,0.0144,5560,0.066,0.095
"587",644,0.0687,0.072,0.0753,0.0188,7256,0.066,0.09
"588",645,0.0686,0.0718,0.075,0.0194,7475,0.066,0.085
"601",658,0.0708,0.0766,0.0825,0.00787,3029,0.068,0.115
"602",659,0.0712,0.0766,0.082,0.0089,3427,0.068,0.11
"603",660,0.073,0.0776,0.0821,0.0116,4469,0.068,0.105
"604",661,0.0733,0.0776,0.082,0.0124,4772,0.068,0.1
"605",662,0.0706,0.0744,0.0781,0.0157,6050,0.068,0.095
"606",663,0.0685,0.0717,0.0749,0.0204,7851,0.068,0.09
"607",664,0.0683,0.0714,0.0746,0.021,8081,0.068,0.085
"620",677,0.0682,0.0739,0.0796,0.00856,3297,0.07,0.115
"621",678,0.0682,0.0735,0.0789,0.00968,3729,0.07,0.11
"622",679,0.0702,0.0746,0.0791,0.0126,4846,0.07,0.105
"623",680,0.0705,0.0748,0.079,0.0134,5169,0.07,0.1
"624",681,0.0689,0.0725,0.0762,0.017,6545,0.07,0.095
"625",682,0.0675,0.0706,0.0736,0.022,8484,0.07,0.09
"626",683,0.0673,0.0704,0.0734,0.0227,8727,0.07,0.085
"639",696,0.0693,0.0748,0.0802,0.00925,3563,0.072,0.115
"640",697,0.0693,0.0744,0.0795,0.0105,4036,0.072,0.11
"641",698,0.071,0.0752,0.0795,0.0136,5236,0.072,0.105
